"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:46:45+00:00","data_sent","default","","amazon:us:columbus","{}",590
"2024-02-29T13:46:48+00:00","data_sent","default","","amazon:us:columbus","{}",242
"2024-02-29T13:46:51+00:00","data_sent","default","","amazon:us:columbus","{}",953
"2024-02-29T13:46:54+00:00","data_sent","default","","amazon:us:columbus","{}",605
"2024-02-29T13:46:57+00:00","data_sent","default","","amazon:us:columbus","{}",1074
"2024-02-29T13:47:00+00:00","data_sent","default","","amazon:us:columbus","{}",1089
"2024-02-29T13:47:03+00:00","data_sent","default","","amazon:us:columbus","{}",1437
"2024-02-29T13:47:06+00:00","data_sent","default","","amazon:us:columbus","{}",1210
"2024-02-29T13:47:09+00:00","data_sent","default","","amazon:us:columbus","{}",1800
"2024-02-29T13:47:12+00:00","data_sent","default","","amazon:us:columbus","{}",1573
"2024-02-29T13:47:15+00:00","data_sent","default","","amazon:us:columbus","{}",1573
"2024-02-29T13:47:18+00:00","data_sent","default","","amazon:us:columbus","{}",2405
"2024-02-29T13:47:21+00:00","data_sent","default","","amazon:us:columbus","{}",1936
"2024-02-29T13:47:24+00:00","data_sent","default","","amazon:us:columbus","{}",2526
"2024-02-29T13:47:27+00:00","data_sent","default","","amazon:us:columbus","{}",2420
"2024-02-29T13:47:30+00:00","data_sent","default","","amazon:us:columbus","{}",2889
"2024-02-29T13:47:33+00:00","data_sent","default","","amazon:us:columbus","{}",2420
"2024-02-29T13:47:36+00:00","data_sent","default","","amazon:us:columbus","{}",3252
"2024-02-29T13:47:39+00:00","data_sent","default","","amazon:us:columbus","{}",2904
"2024-02-29T13:47:42+00:00","data_sent","default","","amazon:us:columbus","{}",3494
"2024-02-29T13:47:45+00:00","data_sent","default","","amazon:us:columbus","{}",3146
"2024-02-29T13:47:48+00:00","data_sent","default","","amazon:us:columbus","{}",3736
"2024-02-29T13:47:51+00:00","data_sent","default","","amazon:us:columbus","{}",3630
"2024-02-29T13:47:54+00:00","data_sent","default","","amazon:us:columbus","{}",3978
