"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:46:45+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-29T13:46:48+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-29T13:46:51+00:00","iterations","default","","amazon:us:columbus","{}",5
"2024-02-29T13:46:54+00:00","iterations","default","","amazon:us:columbus","{}",5
"2024-02-29T13:46:57+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-29T13:47:00+00:00","iterations","default","","amazon:us:columbus","{}",9
"2024-02-29T13:47:03+00:00","iterations","default","","amazon:us:columbus","{}",9
"2024-02-29T13:47:06+00:00","iterations","default","","amazon:us:columbus","{}",10
"2024-02-29T13:47:09+00:00","iterations","default","","amazon:us:columbus","{}",12
"2024-02-29T13:47:12+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-29T13:47:15+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-29T13:47:18+00:00","iterations","default","","amazon:us:columbus","{}",17
"2024-02-29T13:47:21+00:00","iterations","default","","amazon:us:columbus","{}",16
"2024-02-29T13:47:24+00:00","iterations","default","","amazon:us:columbus","{}",18
"2024-02-29T13:47:27+00:00","iterations","default","","amazon:us:columbus","{}",20
"2024-02-29T13:47:30+00:00","iterations","default","","amazon:us:columbus","{}",21
"2024-02-29T13:47:33+00:00","iterations","default","","amazon:us:columbus","{}",20
"2024-02-29T13:47:36+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-29T13:47:39+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-29T13:47:42+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-29T13:47:45+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-29T13:47:48+00:00","iterations","default","","amazon:us:columbus","{}",28
"2024-02-29T13:47:51+00:00","iterations","default","","amazon:us:columbus","{}",30
"2024-02-29T13:47:54+00:00","iterations","default","","amazon:us:columbus","{}",30
"2024-02-29T13:47:57+00:00","iterations","default","","amazon:us:columbus","{}",32
"2024-02-29T13:48:00+00:00","iterations","default","","amazon:us:columbus","{}",33
"2024-02-29T13:48:03+00:00","iterations","default","","amazon:us:columbus","{}",35
"2024-02-29T13:48:06+00:00","iterations","default","","amazon:us:columbus","{}",34
"2024-02-29T13:48:09+00:00","iterations","default","","amazon:us:columbus","{}",38
"2024-02-29T13:48:12+00:00","iterations","default","","amazon:us:columbus","{}",38
"2024-02-29T13:48:15+00:00","iterations","default","","amazon:us:columbus","{}",39
"2024-02-29T13:48:18+00:00","iterations","default","","amazon:us:columbus","{}",41
"2024-02-29T13:48:21+00:00","iterations","default","","amazon:us:columbus","{}",43
"2024-02-29T13:48:24+00:00","iterations","default","","amazon:us:columbus","{}",42
"2024-02-29T13:48:27+00:00","iterations","default","","amazon:us:columbus","{}",46
"2024-02-29T13:48:30+00:00","iterations","default","","amazon:us:columbus","{}",45
"2024-02-29T13:48:33+00:00","iterations","default","","amazon:us:columbus","{}",47
"2024-02-29T13:48:36+00:00","iterations","default","","amazon:us:columbus","{}",48
"2024-02-29T13:48:39+00:00","iterations","default","","amazon:us:columbus","{}",50
"2024-02-29T13:48:42+00:00","iterations","default","","amazon:us:columbus","{}",51
"2024-02-29T13:48:45+00:00","iterations","default","","amazon:us:columbus","{}",51
"2024-02-29T13:48:48+00:00","iterations","default","","amazon:us:columbus","{}",54
"2024-02-29T13:48:51+00:00","iterations","default","","amazon:us:columbus","{}",55
"2024-02-29T13:48:54+00:00","iterations","default","","amazon:us:columbus","{}",55
"2024-02-29T13:48:57+00:00","iterations","default","","amazon:us:columbus","{}",55
"2024-02-29T13:49:00+00:00","iterations","default","","amazon:us:columbus","{}",62
"2024-02-29T13:49:03+00:00","iterations","default","","amazon:us:columbus","{}",58
"2024-02-29T13:49:06+00:00","iterations","default","","amazon:us:columbus","{}",61
"2024-02-29T13:49:09+00:00","iterations","default","","amazon:us:columbus","{}",63
"2024-02-29T13:49:12+00:00","iterations","default","","amazon:us:columbus","{}",62
"2024-02-29T13:49:15+00:00","iterations","default","","amazon:us:columbus","{}",67
"2024-02-29T13:49:18+00:00","iterations","default","","amazon:us:columbus","{}",67
"2024-02-29T13:49:21+00:00","iterations","default","","amazon:us:columbus","{}",66
"2024-02-29T13:49:24+00:00","iterations","default","","amazon:us:columbus","{}",71
"2024-02-29T13:49:27+00:00","iterations","default","","amazon:us:columbus","{}",70
"2024-02-29T13:49:30+00:00","iterations","default","","amazon:us:columbus","{}",71
"2024-02-29T13:49:33+00:00","iterations","default","","amazon:us:columbus","{}",75
"2024-02-29T13:49:36+00:00","iterations","default","","amazon:us:columbus","{}",75
"2024-02-29T13:49:39+00:00","iterations","default","","amazon:us:columbus","{}",74
"2024-02-29T13:49:42+00:00","iterations","default","","amazon:us:columbus","{}",77
"2024-02-29T13:49:45+00:00","iterations","default","","amazon:us:columbus","{}",79
"2024-02-29T13:49:48+00:00","iterations","default","","amazon:us:columbus","{}",81
"2024-02-29T13:49:51+00:00","iterations","default","","amazon:us:columbus","{}",81
"2024-02-29T13:49:54+00:00","iterations","default","","amazon:us:columbus","{}",81
"2024-02-29T13:49:57+00:00","iterations","default","","amazon:us:columbus","{}",84
"2024-02-29T13:50:00+00:00","iterations","default","","amazon:us:columbus","{}",86
"2024-02-29T13:50:03+00:00","iterations","default","","amazon:us:columbus","{}",85
"2024-02-29T13:50:06+00:00","iterations","default","","amazon:us:columbus","{}",87
"2024-02-29T13:50:09+00:00","iterations","default","","amazon:us:columbus","{}",91
"2024-02-29T13:50:12+00:00","iterations","default","","amazon:us:columbus","{}",89
"2024-02-29T13:50:15+00:00","iterations","default","","amazon:us:columbus","{}",92
"2024-02-29T13:50:18+00:00","iterations","default","","amazon:us:columbus","{}",95
"2024-02-29T13:50:21+00:00","iterations","default","","amazon:us:columbus","{}",92
"2024-02-29T13:50:24+00:00","iterations","default","","amazon:us:columbus","{}",96
"2024-02-29T13:50:27+00:00","iterations","default","","amazon:us:columbus","{}",99
