"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T13:46:39+00:00","vus","","","amazon:us:columbus","{}",1,0.0,0.0,0.0,0.0
"2024-02-29T13:46:42+00:00","vus","","","amazon:us:columbus","{}",3,0.0,0.0,0.0,0.0
"2024-02-29T13:46:45+00:00","vus","","","amazon:us:columbus","{}",3,1.0,0.666666666666667,0.0,1.0
"2024-02-29T13:46:48+00:00","vus","","","amazon:us:columbus","{}",3,1.0,1.0,1.0,1.0
"2024-02-29T13:46:51+00:00","vus","","","amazon:us:columbus","{}",3,2.0,1.66666666666667,1.0,2.0
"2024-02-29T13:46:54+00:00","vus","","","amazon:us:columbus","{}",3,2.0,2.0,2.0,2.0
"2024-02-29T13:46:57+00:00","vus","","","amazon:us:columbus","{}",3,3.0,2.66666666666667,2.0,3.0
"2024-02-29T13:47:00+00:00","vus","","","amazon:us:columbus","{}",3,3.0,3.0,3.0,3.0
"2024-02-29T13:47:03+00:00","vus","","","amazon:us:columbus","{}",3,4.0,3.66666666666667,3.0,4.0
"2024-02-29T13:47:06+00:00","vus","","","amazon:us:columbus","{}",3,4.0,4.0,4.0,4.0
"2024-02-29T13:47:09+00:00","vus","","","amazon:us:columbus","{}",3,5.0,4.33333333333333,4.0,5.0
"2024-02-29T13:47:12+00:00","vus","","","amazon:us:columbus","{}",3,5.0,5.0,5.0,5.0
"2024-02-29T13:47:15+00:00","vus","","","amazon:us:columbus","{}",3,6.0,5.33333333333333,5.0,6.0
"2024-02-29T13:47:18+00:00","vus","","","amazon:us:columbus","{}",3,6.0,6.0,6.0,6.0
"2024-02-29T13:47:21+00:00","vus","","","amazon:us:columbus","{}",3,7.0,6.33333333333333,6.0,7.0
"2024-02-29T13:47:24+00:00","vus","","","amazon:us:columbus","{}",3,7.0,7.0,7.0,7.0
"2024-02-29T13:47:27+00:00","vus","","","amazon:us:columbus","{}",3,7.0,7.0,7.0,7.0
"2024-02-29T13:47:30+00:00","vus","","","amazon:us:columbus","{}",3,8.0,8.0,8.0,8.0
"2024-02-29T13:47:33+00:00","vus","","","amazon:us:columbus","{}",3,8.0,8.0,8.0,8.0
"2024-02-29T13:47:36+00:00","vus","","","amazon:us:columbus","{}",3,9.0,9.0,9.0,9.0
"2024-02-29T13:47:39+00:00","vus","","","amazon:us:columbus","{}",3,9.0,9.0,9.0,9.0
"2024-02-29T13:47:42+00:00","vus","","","amazon:us:columbus","{}",3,10.0,10.0,10.0,10.0
"2024-02-29T13:47:45+00:00","vus","","","amazon:us:columbus","{}",3,10.0,10.0,10.0,10.0
"2024-02-29T13:47:48+00:00","vus","","","amazon:us:columbus","{}",3,11.0,10.6666666666667,10.0,11.0
"2024-02-29T13:47:51+00:00","vus","","","amazon:us:columbus","{}",3,11.0,11.0,11.0,11.0
"2024-02-29T13:47:54+00:00","vus","","","amazon:us:columbus","{}",3,12.0,11.6666666666667,11.0,12.0
"2024-02-29T13:47:57+00:00","vus","","","amazon:us:columbus","{}",3,12.0,12.0,12.0,12.0
"2024-02-29T13:48:00+00:00","vus","","","amazon:us:columbus","{}",3,13.0,12.6666666666667,12.0,13.0
"2024-02-29T13:48:03+00:00","vus","","","amazon:us:columbus","{}",3,13.0,13.0,13.0,13.0
"2024-02-29T13:48:06+00:00","vus","","","amazon:us:columbus","{}",3,14.0,13.3333333333333,13.0,14.0
"2024-02-29T13:48:09+00:00","vus","","","amazon:us:columbus","{}",3,14.0,14.0,14.0,14.0
"2024-02-29T13:48:12+00:00","vus","","","amazon:us:columbus","{}",3,15.0,14.3333333333333,14.0,15.0
"2024-02-29T13:48:15+00:00","vus","","","amazon:us:columbus","{}",3,15.0,15.0,15.0,15.0
"2024-02-29T13:48:18+00:00","vus","","","amazon:us:columbus","{}",3,16.0,15.3333333333333,15.0,16.0
"2024-02-29T13:48:21+00:00","vus","","","amazon:us:columbus","{}",3,16.0,16.0,16.0,16.0
"2024-02-29T13:48:24+00:00","vus","","","amazon:us:columbus","{}",3,16.0,16.0,16.0,16.0
"2024-02-29T13:48:27+00:00","vus","","","amazon:us:columbus","{}",3,17.0,17.0,17.0,17.0
"2024-02-29T13:48:30+00:00","vus","","","amazon:us:columbus","{}",3,17.0,17.0,17.0,17.0
"2024-02-29T13:48:33+00:00","vus","","","amazon:us:columbus","{}",3,18.0,18.0,18.0,18.0
"2024-02-29T13:48:36+00:00","vus","","","amazon:us:columbus","{}",3,18.0,18.0,18.0,18.0
"2024-02-29T13:48:39+00:00","vus","","","amazon:us:columbus","{}",3,19.0,19.0,19.0,19.0
"2024-02-29T13:48:42+00:00","vus","","","amazon:us:columbus","{}",3,19.0,19.0,19.0,19.0
"2024-02-29T13:48:45+00:00","vus","","","amazon:us:columbus","{}",3,20.0,19.6666666666667,19.0,20.0
"2024-02-29T13:48:48+00:00","vus","","","amazon:us:columbus","{}",3,20.0,20.0,20.0,20.0
"2024-02-29T13:48:51+00:00","vus","","","amazon:us:columbus","{}",3,21.0,20.6666666666667,20.0,21.0
"2024-02-29T13:48:54+00:00","vus","","","amazon:us:columbus","{}",3,21.0,21.0,21.0,21.0
"2024-02-29T13:48:57+00:00","vus","","","amazon:us:columbus","{}",3,22.0,21.6666666666667,21.0,22.0
"2024-02-29T13:49:00+00:00","vus","","","amazon:us:columbus","{}",3,22.0,22.0,22.0,22.0
"2024-02-29T13:49:03+00:00","vus","","","amazon:us:columbus","{}",3,23.0,22.6666666666667,22.0,23.0
"2024-02-29T13:49:06+00:00","vus","","","amazon:us:columbus","{}",3,23.0,23.0,23.0,23.0
"2024-02-29T13:49:09+00:00","vus","","","amazon:us:columbus","{}",3,24.0,23.6666666666667,23.0,24.0
"2024-02-29T13:49:12+00:00","vus","","","amazon:us:columbus","{}",3,24.0,24.0,24.0,24.0
"2024-02-29T13:49:15+00:00","vus","","","amazon:us:columbus","{}",3,25.0,24.6666666666667,24.0,25.0
"2024-02-29T13:49:18+00:00","vus","","","amazon:us:columbus","{}",3,25.0,25.0,25.0,25.0
"2024-02-29T13:49:21+00:00","vus","","","amazon:us:columbus","{}",3,26.0,25.6666666666667,25.0,26.0
"2024-02-29T13:49:24+00:00","vus","","","amazon:us:columbus","{}",3,26.0,26.0,26.0,26.0
"2024-02-29T13:49:27+00:00","vus","","","amazon:us:columbus","{}",3,27.0,26.6666666666667,26.0,27.0
"2024-02-29T13:49:30+00:00","vus","","","amazon:us:columbus","{}",3,27.0,27.0,27.0,27.0
"2024-02-29T13:49:33+00:00","vus","","","amazon:us:columbus","{}",3,28.0,27.6666666666667,27.0,28.0
"2024-02-29T13:49:36+00:00","vus","","","amazon:us:columbus","{}",3,28.0,28.0,28.0,28.0
"2024-02-29T13:49:39+00:00","vus","","","amazon:us:columbus","{}",3,29.0,28.6666666666667,28.0,29.0
"2024-02-29T13:49:42+00:00","vus","","","amazon:us:columbus","{}",3,29.0,29.0,29.0,29.0
"2024-02-29T13:49:45+00:00","vus","","","amazon:us:columbus","{}",3,30.0,29.6666666666667,29.0,30.0
"2024-02-29T13:49:48+00:00","vus","","","amazon:us:columbus","{}",3,30.0,30.0,30.0,30.0
"2024-02-29T13:49:51+00:00","vus","","","amazon:us:columbus","{}",3,31.0,30.6666666666667,30.0,31.0
"2024-02-29T13:49:54+00:00","vus","","","amazon:us:columbus","{}",3,31.0,31.0,31.0,31.0
"2024-02-29T13:49:57+00:00","vus","","","amazon:us:columbus","{}",3,32.0,31.6666666666667,31.0,32.0
"2024-02-29T13:50:00+00:00","vus","","","amazon:us:columbus","{}",3,32.0,32.0,32.0,32.0
"2024-02-29T13:50:03+00:00","vus","","","amazon:us:columbus","{}",3,33.0,32.6666666666667,32.0,33.0
"2024-02-29T13:50:06+00:00","vus","","","amazon:us:columbus","{}",3,33.0,33.0,33.0,33.0
"2024-02-29T13:50:09+00:00","vus","","","amazon:us:columbus","{}",3,34.0,33.6666666666667,33.0,34.0
"2024-02-29T13:50:12+00:00","vus","","","amazon:us:columbus","{}",3,34.0,34.0,34.0,34.0
"2024-02-29T13:50:15+00:00","vus","","","amazon:us:columbus","{}",3,35.0,34.6666666666667,34.0,35.0
"2024-02-29T13:50:18+00:00","vus","","","amazon:us:columbus","{}",3,35.0,35.0,35.0,35.0
"2024-02-29T13:50:21+00:00","vus","","","amazon:us:columbus","{}",3,36.0,35.6666666666667,35.0,36.0
"2024-02-29T13:50:24+00:00","vus","","","amazon:us:columbus","{}",3,36.0,36.0,36.0,36.0
"2024-02-29T13:50:27+00:00","vus","","","amazon:us:columbus","{}",3,37.0,36.6666666666667,36.0,37.0
"2024-02-29T13:50:30+00:00","vus","","","amazon:us:columbus","{}",3,37.0,37.0,37.0,37.0
"2024-02-29T13:50:33+00:00","vus","","","amazon:us:columbus","{}",3,38.0,37.6666666666667,37.0,38.0
"2024-02-29T13:50:36+00:00","vus","","","amazon:us:columbus","{}",3,38.0,38.0,38.0,38.0
"2024-02-29T13:50:39+00:00","vus","","","amazon:us:columbus","{}",3,39.0,38.6666666666667,38.0,39.0
"2024-02-29T13:50:42+00:00","vus","","","amazon:us:columbus","{}",3,39.0,39.0,39.0,39.0
"2024-02-29T13:50:45+00:00","vus","","","amazon:us:columbus","{}",3,40.0,39.6666666666667,39.0,40.0
"2024-02-29T13:50:48+00:00","vus","","","amazon:us:columbus","{}",3,40.0,40.0,40.0,40.0
