"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:32:09+00:00","data_received","default","","amazon:us:columbus","{}",23701
"2024-02-29T13:32:12+00:00","data_received","default","","amazon:us:columbus","{}",11934
"2024-02-29T13:32:15+00:00","data_received","default","","amazon:us:columbus","{}",41602
"2024-02-29T13:32:18+00:00","data_received","default","","amazon:us:columbus","{}",29835
"2024-02-29T13:32:21+00:00","data_received","default","","amazon:us:columbus","{}",47569
"2024-02-29T13:32:24+00:00","data_received","default","","amazon:us:columbus","{}",47736
"2024-02-29T13:32:27+00:00","data_received","default","","amazon:us:columbus","{}",71437
"2024-02-29T13:32:30+00:00","data_received","default","","amazon:us:columbus","{}",59670
"2024-02-29T13:32:33+00:00","data_received","default","","amazon:us:columbus","{}",77404
"2024-02-29T13:32:36+00:00","data_received","default","","amazon:us:columbus","{}",77571
"2024-02-29T13:32:39+00:00","data_received","default","","amazon:us:columbus","{}",95305
"2024-02-29T13:32:42+00:00","data_received","default","","amazon:us:columbus","{}",95472
"2024-02-29T13:32:45+00:00","data_received","default","","amazon:us:columbus","{}",101272
"2024-02-29T13:32:48+00:00","data_received","default","","amazon:us:columbus","{}",113373
"2024-02-29T13:32:51+00:00","data_received","default","","amazon:us:columbus","{}",125140
"2024-02-29T13:32:54+00:00","data_received","default","","amazon:us:columbus","{}",125307
"2024-02-29T13:32:57+00:00","data_received","default","","amazon:us:columbus","{}",137074
"2024-02-29T13:33:00+00:00","data_received","default","","amazon:us:columbus","{}",143208
"2024-02-29T13:33:03+00:00","data_received","default","","amazon:us:columbus","{}",137241
"2024-02-29T13:33:06+00:00","data_received","default","","amazon:us:columbus","{}",166909
"2024-02-29T13:33:09+00:00","data_received","default","","amazon:us:columbus","{}",161109
"2024-02-29T13:33:12+00:00","data_received","default","","amazon:us:columbus","{}",178843
"2024-02-29T13:33:15+00:00","data_received","default","","amazon:us:columbus","{}",167076
"2024-02-29T13:33:18+00:00","data_received","default","","amazon:us:columbus","{}",196744
"2024-02-29T13:33:21+00:00","data_received","default","","amazon:us:columbus","{}",190944
"2024-02-29T13:33:24+00:00","data_received","default","","amazon:us:columbus","{}",202711
"2024-02-29T13:33:27+00:00","data_received","default","","amazon:us:columbus","{}",208845
"2024-02-29T13:33:30+00:00","data_received","default","","amazon:us:columbus","{}",220612
"2024-02-29T13:33:33+00:00","data_received","default","","amazon:us:columbus","{}",226746
"2024-02-29T13:33:36+00:00","data_received","default","","amazon:us:columbus","{}",232546
"2024-02-29T13:33:39+00:00","data_received","default","","amazon:us:columbus","{}",232713
"2024-02-29T13:33:42+00:00","data_received","default","","amazon:us:columbus","{}",250447
"2024-02-29T13:33:45+00:00","data_received","default","","amazon:us:columbus","{}",256581
"2024-02-29T13:33:48+00:00","data_received","default","","amazon:us:columbus","{}",256414
"2024-02-29T13:33:51+00:00","data_received","default","","amazon:us:columbus","{}",280449
"2024-02-29T13:33:54+00:00","data_received","default","","amazon:us:columbus","{}",274315
"2024-02-29T13:33:57+00:00","data_received","default","","amazon:us:columbus","{}",280449
"2024-02-29T13:34:00+00:00","data_received","default","","amazon:us:columbus","{}",286416
"2024-02-29T13:34:03+00:00","data_received","default","","amazon:us:columbus","{}",321927
"2024-02-29T13:34:06+00:00","data_received","default","","amazon:us:columbus","{}",286416
"2024-02-29T13:34:09+00:00","data_received","default","","amazon:us:columbus","{}",333861
"2024-02-29T13:34:12+00:00","data_received","default","","amazon:us:columbus","{}",304317
