"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:32:09+00:00","data_sent","default","","amazon:us:columbus","{}",717
"2024-02-29T13:32:12+00:00","data_sent","default","","amazon:us:columbus","{}",246
"2024-02-29T13:32:15+00:00","data_sent","default","","amazon:us:columbus","{}",1086
"2024-02-29T13:32:18+00:00","data_sent","default","","amazon:us:columbus","{}",615
"2024-02-29T13:32:21+00:00","data_sent","default","","amazon:us:columbus","{}",1209
"2024-02-29T13:32:24+00:00","data_sent","default","","amazon:us:columbus","{}",984
"2024-02-29T13:32:27+00:00","data_sent","default","","amazon:us:columbus","{}",1701
"2024-02-29T13:32:30+00:00","data_sent","default","","amazon:us:columbus","{}",1230
"2024-02-29T13:32:33+00:00","data_sent","default","","amazon:us:columbus","{}",1824
"2024-02-29T13:32:36+00:00","data_sent","default","","amazon:us:columbus","{}",1599
"2024-02-29T13:32:39+00:00","data_sent","default","","amazon:us:columbus","{}",2193
"2024-02-29T13:32:42+00:00","data_sent","default","","amazon:us:columbus","{}",1968
"2024-02-29T13:32:45+00:00","data_sent","default","","amazon:us:columbus","{}",2316
"2024-02-29T13:32:48+00:00","data_sent","default","","amazon:us:columbus","{}",2337
"2024-02-29T13:32:51+00:00","data_sent","default","","amazon:us:columbus","{}",2808
"2024-02-29T13:32:54+00:00","data_sent","default","","amazon:us:columbus","{}",2583
"2024-02-29T13:32:57+00:00","data_sent","default","","amazon:us:columbus","{}",3054
"2024-02-29T13:33:00+00:00","data_sent","default","","amazon:us:columbus","{}",2952
"2024-02-29T13:33:03+00:00","data_sent","default","","amazon:us:columbus","{}",2829
"2024-02-29T13:33:06+00:00","data_sent","default","","amazon:us:columbus","{}",3669
"2024-02-29T13:33:09+00:00","data_sent","default","","amazon:us:columbus","{}",3321
"2024-02-29T13:33:12+00:00","data_sent","default","","amazon:us:columbus","{}",3915
"2024-02-29T13:33:15+00:00","data_sent","default","","amazon:us:columbus","{}",3444
"2024-02-29T13:33:18+00:00","data_sent","default","","amazon:us:columbus","{}",4284
"2024-02-29T13:33:21+00:00","data_sent","default","","amazon:us:columbus","{}",3936
"2024-02-29T13:33:24+00:00","data_sent","default","","amazon:us:columbus","{}",4407
"2024-02-29T13:33:27+00:00","data_sent","default","","amazon:us:columbus","{}",4305
"2024-02-29T13:33:30+00:00","data_sent","default","","amazon:us:columbus","{}",4776
"2024-02-29T13:33:33+00:00","data_sent","default","","amazon:us:columbus","{}",4674
"2024-02-29T13:33:36+00:00","data_sent","default","","amazon:us:columbus","{}",5022
"2024-02-29T13:33:39+00:00","data_sent","default","","amazon:us:columbus","{}",4797
"2024-02-29T13:33:42+00:00","data_sent","default","","amazon:us:columbus","{}",5391
"2024-02-29T13:33:45+00:00","data_sent","default","","amazon:us:columbus","{}",5289
"2024-02-29T13:33:48+00:00","data_sent","default","","amazon:us:columbus","{}",5514
"2024-02-29T13:33:51+00:00","data_sent","default","","amazon:us:columbus","{}",5781
"2024-02-29T13:33:54+00:00","data_sent","default","","amazon:us:columbus","{}",5883
"2024-02-29T13:33:57+00:00","data_sent","default","","amazon:us:columbus","{}",5781
"2024-02-29T13:34:00+00:00","data_sent","default","","amazon:us:columbus","{}",5904
"2024-02-29T13:34:03+00:00","data_sent","default","","amazon:us:columbus","{}",7116
"2024-02-29T13:34:06+00:00","data_sent","default","","amazon:us:columbus","{}",5904
"2024-02-29T13:34:09+00:00","data_sent","default","","amazon:us:columbus","{}",7362
"2024-02-29T13:34:12+00:00","data_sent","default","","amazon:us:columbus","{}",6273
"2024-02-29T13:34:15+00:00","data_sent","default","","amazon:us:columbus","{}",7731
"2024-02-29T13:34:18+00:00","data_sent","default","","amazon:us:columbus","{}",6642
"2024-02-29T13:34:21+00:00","data_sent","default","","amazon:us:columbus","{}",8100
"2024-02-29T13:34:24+00:00","data_sent","default","","amazon:us:columbus","{}",6888
"2024-02-29T13:34:27+00:00","data_sent","default","","amazon:us:columbus","{}",8100
"2024-02-29T13:34:30+00:00","data_sent","default","","amazon:us:columbus","{}",7503
"2024-02-29T13:34:33+00:00","data_sent","default","","amazon:us:columbus","{}",8592
"2024-02-29T13:34:36+00:00","data_sent","default","","amazon:us:columbus","{}",7749
"2024-02-29T13:34:39+00:00","data_sent","default","","amazon:us:columbus","{}",8490
"2024-02-29T13:34:42+00:00","data_sent","default","","amazon:us:columbus","{}",8712
"2024-02-29T13:34:45+00:00","data_sent","default","","amazon:us:columbus","{}",8859
"2024-02-29T13:34:48+00:00","data_sent","default","","amazon:us:columbus","{}",8712
"2024-02-29T13:34:51+00:00","data_sent","default","","amazon:us:columbus","{}",9351
"2024-02-29T13:34:54+00:00","data_sent","default","","amazon:us:columbus","{}",9081
"2024-02-29T13:34:57+00:00","data_sent","default","","amazon:us:columbus","{}",9474
"2024-02-29T13:35:00+00:00","data_sent","default","","amazon:us:columbus","{}",9450
"2024-02-29T13:35:03+00:00","data_sent","default","","amazon:us:columbus","{}",9720
"2024-02-29T13:35:06+00:00","data_sent","default","","amazon:us:columbus","{}",9696
"2024-02-29T13:35:09+00:00","data_sent","default","","amazon:us:columbus","{}",9942
"2024-02-29T13:35:12+00:00","data_sent","default","","amazon:us:columbus","{}",10335
"2024-02-29T13:35:15+00:00","data_sent","default","","amazon:us:columbus","{}",10188
"2024-02-29T13:35:18+00:00","data_sent","default","","amazon:us:columbus","{}",10704
"2024-02-29T13:35:21+00:00","data_sent","default","","amazon:us:columbus","{}",10680
"2024-02-29T13:35:24+00:00","data_sent","default","","amazon:us:columbus","{}",10827
"2024-02-29T13:35:27+00:00","data_sent","default","","amazon:us:columbus","{}",10803
"2024-02-29T13:35:30+00:00","data_sent","default","","amazon:us:columbus","{}",11196
"2024-02-29T13:35:33+00:00","data_sent","default","","amazon:us:columbus","{}",11664
"2024-02-29T13:35:36+00:00","data_sent","default","","amazon:us:columbus","{}",10848
"2024-02-29T13:35:39+00:00","data_sent","default","","amazon:us:columbus","{}",12135
"2024-02-29T13:35:42+00:00","data_sent","default","","amazon:us:columbus","{}",11340
"2024-02-29T13:35:45+00:00","data_sent","default","","amazon:us:columbus","{}",12504
"2024-02-29T13:35:48+00:00","data_sent","default","","amazon:us:columbus","{}",11586
"2024-02-29T13:35:51+00:00","data_sent","default","","amazon:us:columbus","{}",12996
"2024-02-29T13:35:54+00:00","data_sent","default","","amazon:us:columbus","{}",11955
"2024-02-29T13:35:57+00:00","data_sent","default","","amazon:us:columbus","{}",13368
"2024-02-29T13:36:00+00:00","data_sent","default","","amazon:us:columbus","{}",12570
"2024-02-29T13:36:03+00:00","data_sent","default","","amazon:us:columbus","{}",13368
"2024-02-29T13:36:06+00:00","data_sent","default","","amazon:us:columbus","{}",12693
"2024-02-29T13:36:09+00:00","data_sent","default","","amazon:us:columbus","{}",14352
"2024-02-29T13:36:12+00:00","data_sent","default","","amazon:us:columbus","{}",12693
"2024-02-29T13:36:15+00:00","data_sent","default","","amazon:us:columbus","{}",14127
"2024-02-29T13:36:18+00:00","data_sent","default","","amazon:us:columbus","{}",13779
"2024-02-29T13:36:21+00:00","data_sent","default","","amazon:us:columbus","{}",14250
"2024-02-29T13:36:24+00:00","data_sent","default","","amazon:us:columbus","{}",14271
"2024-02-29T13:36:27+00:00","data_sent","default","","amazon:us:columbus","{}",14250
"2024-02-29T13:36:30+00:00","data_sent","default","","amazon:us:columbus","{}",14886
"2024-02-29T13:36:33+00:00","data_sent","default","","amazon:us:columbus","{}",14988
"2024-02-29T13:36:36+00:00","data_sent","default","","amazon:us:columbus","{}",14517
"2024-02-29T13:36:39+00:00","data_sent","default","","amazon:us:columbus","{}",15357
"2024-02-29T13:36:42+00:00","data_sent","default","","amazon:us:columbus","{}",15501
"2024-02-29T13:36:45+00:00","data_sent","default","","amazon:us:columbus","{}",14964
"2024-02-29T13:36:48+00:00","data_sent","default","","amazon:us:columbus","{}",15279
"2024-02-29T13:36:51+00:00","data_sent","default","","amazon:us:columbus","{}",16317
"2024-02-29T13:36:54+00:00","data_sent","default","","amazon:us:columbus","{}",15648
"2024-02-29T13:36:57+00:00","data_sent","default","","amazon:us:columbus","{}",15579
"2024-02-29T13:37:00+00:00","data_sent","default","","amazon:us:columbus","{}",16509
"2024-02-29T13:37:03+00:00","data_sent","default","","amazon:us:columbus","{}",16440
"2024-02-29T13:37:06+00:00","data_sent","default","","amazon:us:columbus","{}",16263
"2024-02-29T13:37:09+00:00","data_sent","default","","amazon:us:columbus","{}",16809
"2024-02-29T13:37:12+00:00","data_sent","default","","amazon:us:columbus","{}",16284
"2024-02-29T13:37:15+00:00","data_sent","default","","amazon:us:columbus","{}",17526
"2024-02-29T13:37:18+00:00","data_sent","default","","amazon:us:columbus","{}",16899
"2024-02-29T13:37:21+00:00","data_sent","default","","amazon:us:columbus","{}",17895
"2024-02-29T13:37:24+00:00","data_sent","default","","amazon:us:columbus","{}",17022
"2024-02-29T13:37:27+00:00","data_sent","default","","amazon:us:columbus","{}",18387
"2024-02-29T13:37:30+00:00","data_sent","default","","amazon:us:columbus","{}",17022
"2024-02-29T13:37:33+00:00","data_sent","default","","amazon:us:columbus","{}",18756
"2024-02-29T13:37:36+00:00","data_sent","default","","amazon:us:columbus","{}",17514
"2024-02-29T13:37:39+00:00","data_sent","default","","amazon:us:columbus","{}",18879
"2024-02-29T13:37:42+00:00","data_sent","default","","amazon:us:columbus","{}",18375
"2024-02-29T13:37:45+00:00","data_sent","default","","amazon:us:columbus","{}",18756
"2024-02-29T13:37:48+00:00","data_sent","default","","amazon:us:columbus","{}",18474
"2024-02-29T13:37:51+00:00","data_sent","default","","amazon:us:columbus","{}",19665
"2024-02-29T13:37:54+00:00","data_sent","default","","amazon:us:columbus","{}",18453
"2024-02-29T13:37:57+00:00","data_sent","default","","amazon:us:columbus","{}",20526
"2024-02-29T13:38:00+00:00","data_sent","default","","amazon:us:columbus","{}",18822
"2024-02-29T13:38:03+00:00","data_sent","default","","amazon:us:columbus","{}",20157
"2024-02-29T13:38:06+00:00","data_sent","default","","amazon:us:columbus","{}",19314
"2024-02-29T13:38:09+00:00","data_sent","default","","amazon:us:columbus","{}",20772
"2024-02-29T13:38:12+00:00","data_sent","default","","amazon:us:columbus","{}",19806
"2024-02-29T13:38:15+00:00","data_sent","default","","amazon:us:columbus","{}",21018
"2024-02-29T13:38:18+00:00","data_sent","default","","amazon:us:columbus","{}",20544
"2024-02-29T13:38:21+00:00","data_sent","default","","amazon:us:columbus","{}",21018
"2024-02-29T13:38:24+00:00","data_sent","default","","amazon:us:columbus","{}",20421
"2024-02-29T13:38:27+00:00","data_sent","default","","amazon:us:columbus","{}",21240
"2024-02-29T13:38:30+00:00","data_sent","default","","amazon:us:columbus","{}",21528
"2024-02-29T13:38:33+00:00","data_sent","default","","amazon:us:columbus","{}",21264
"2024-02-29T13:38:36+00:00","data_sent","default","","amazon:us:columbus","{}",20937
"2024-02-29T13:38:39+00:00","data_sent","default","","amazon:us:columbus","{}",22962
"2024-02-29T13:38:42+00:00","data_sent","default","","amazon:us:columbus","{}",21306
"2024-02-29T13:38:45+00:00","data_sent","default","","amazon:us:columbus","{}",21978
"2024-02-29T13:38:48+00:00","data_sent","default","","amazon:us:columbus","{}",22905
"2024-02-29T13:38:51+00:00","data_sent","default","","amazon:us:columbus","{}",21978
"2024-02-29T13:38:54+00:00","data_sent","default","","amazon:us:columbus","{}",22659
"2024-02-29T13:38:57+00:00","data_sent","default","","amazon:us:columbus","{}",22716
"2024-02-29T13:39:00+00:00","data_sent","default","","amazon:us:columbus","{}",22065
"2024-02-29T13:39:03+00:00","data_sent","default","","amazon:us:columbus","{}",24048
"2024-02-29T13:39:06+00:00","data_sent","default","","amazon:us:columbus","{}",22311
"2024-02-29T13:39:09+00:00","data_sent","default","","amazon:us:columbus","{}",24294
"2024-02-29T13:39:12+00:00","data_sent","default","","amazon:us:columbus","{}",23049
"2024-02-29T13:39:15+00:00","data_sent","default","","amazon:us:columbus","{}",24540
"2024-02-29T13:39:18+00:00","data_sent","default","","amazon:us:columbus","{}",22557
"2024-02-29T13:39:21+00:00","data_sent","default","","amazon:us:columbus","{}",25032
"2024-02-29T13:39:24+00:00","data_sent","default","","amazon:us:columbus","{}",23517
"2024-02-29T13:39:27+00:00","data_sent","default","","amazon:us:columbus","{}",25056
"2024-02-29T13:39:30+00:00","data_sent","default","","amazon:us:columbus","{}",23886
"2024-02-29T13:39:33+00:00","data_sent","default","","amazon:us:columbus","{}",25302
"2024-02-29T13:39:36+00:00","data_sent","default","","amazon:us:columbus","{}",24132
"2024-02-29T13:39:39+00:00","data_sent","default","","amazon:us:columbus","{}",26163
"2024-02-29T13:39:42+00:00","data_sent","default","","amazon:us:columbus","{}",24009
"2024-02-29T13:39:45+00:00","data_sent","default","","amazon:us:columbus","{}",26187
"2024-02-29T13:39:48+00:00","data_sent","default","","amazon:us:columbus","{}",24849
"2024-02-29T13:39:51+00:00","data_sent","default","","amazon:us:columbus","{}",26085
"2024-02-29T13:39:54+00:00","data_sent","default","","amazon:us:columbus","{}",26304
"2024-02-29T13:39:57+00:00","data_sent","default","","amazon:us:columbus","{}",26409
"2024-02-29T13:40:00+00:00","data_sent","default","","amazon:us:columbus","{}",25857
"2024-02-29T13:40:03+00:00","data_sent","default","","amazon:us:columbus","{}",26184
"2024-02-29T13:40:06+00:00","data_sent","default","","amazon:us:columbus","{}",26820
"2024-02-29T13:40:09+00:00","data_sent","default","","amazon:us:columbus","{}",27270
"2024-02-29T13:40:12+00:00","data_sent","default","","amazon:us:columbus","{}",25980
"2024-02-29T13:40:15+00:00","data_sent","default","","amazon:us:columbus","{}",27393
"2024-02-29T13:40:18+00:00","data_sent","default","","amazon:us:columbus","{}",27333
"2024-02-29T13:40:21+00:00","data_sent","default","","amazon:us:columbus","{}",27639
"2024-02-29T13:40:24+00:00","data_sent","default","","amazon:us:columbus","{}",26862
"2024-02-29T13:40:27+00:00","data_sent","default","","amazon:us:columbus","{}",28869
"2024-02-29T13:40:30+00:00","data_sent","default","","amazon:us:columbus","{}",26718
