"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:32:09+00:00","iterations","default","","amazon:us:columbus","{}",3
"2024-02-29T13:32:12+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-29T13:32:15+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-29T13:32:18+00:00","iterations","default","","amazon:us:columbus","{}",5
"2024-02-29T13:32:21+00:00","iterations","default","","amazon:us:columbus","{}",7
"2024-02-29T13:32:24+00:00","iterations","default","","amazon:us:columbus","{}",8
"2024-02-29T13:32:27+00:00","iterations","default","","amazon:us:columbus","{}",11
"2024-02-29T13:32:30+00:00","iterations","default","","amazon:us:columbus","{}",10
"2024-02-29T13:32:33+00:00","iterations","default","","amazon:us:columbus","{}",12
"2024-02-29T13:32:36+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-29T13:32:39+00:00","iterations","default","","amazon:us:columbus","{}",15
"2024-02-29T13:32:42+00:00","iterations","default","","amazon:us:columbus","{}",16
"2024-02-29T13:32:45+00:00","iterations","default","","amazon:us:columbus","{}",16
"2024-02-29T13:32:48+00:00","iterations","default","","amazon:us:columbus","{}",19
"2024-02-29T13:32:51+00:00","iterations","default","","amazon:us:columbus","{}",20
"2024-02-29T13:32:54+00:00","iterations","default","","amazon:us:columbus","{}",21
"2024-02-29T13:32:57+00:00","iterations","default","","amazon:us:columbus","{}",22
"2024-02-29T13:33:00+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-29T13:33:03+00:00","iterations","default","","amazon:us:columbus","{}",23
"2024-02-29T13:33:06+00:00","iterations","default","","amazon:us:columbus","{}",27
"2024-02-29T13:33:09+00:00","iterations","default","","amazon:us:columbus","{}",27
"2024-02-29T13:33:12+00:00","iterations","default","","amazon:us:columbus","{}",29
"2024-02-29T13:33:15+00:00","iterations","default","","amazon:us:columbus","{}",28
"2024-02-29T13:33:18+00:00","iterations","default","","amazon:us:columbus","{}",32
"2024-02-29T13:33:21+00:00","iterations","default","","amazon:us:columbus","{}",32
"2024-02-29T13:33:24+00:00","iterations","default","","amazon:us:columbus","{}",33
"2024-02-29T13:33:27+00:00","iterations","default","","amazon:us:columbus","{}",35
"2024-02-29T13:33:30+00:00","iterations","default","","amazon:us:columbus","{}",36
"2024-02-29T13:33:33+00:00","iterations","default","","amazon:us:columbus","{}",38
"2024-02-29T13:33:36+00:00","iterations","default","","amazon:us:columbus","{}",38
"2024-02-29T13:33:39+00:00","iterations","default","","amazon:us:columbus","{}",39
"2024-02-29T13:33:42+00:00","iterations","default","","amazon:us:columbus","{}",41
"2024-02-29T13:33:45+00:00","iterations","default","","amazon:us:columbus","{}",43
"2024-02-29T13:33:48+00:00","iterations","default","","amazon:us:columbus","{}",42
"2024-02-29T13:33:51+00:00","iterations","default","","amazon:us:columbus","{}",47
