"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T13:32:03+00:00","vus","","","amazon:us:columbus","{}",3,0.0,0.0,0.0,0.0
"2024-02-29T13:32:06+00:00","vus","","","amazon:us:columbus","{}",3,1.0,0.333333333333333,0.0,1.0
"2024-02-29T13:32:09+00:00","vus","","","amazon:us:columbus","{}",3,1.0,1.0,1.0,1.0
"2024-02-29T13:32:12+00:00","vus","","","amazon:us:columbus","{}",3,2.0,1.33333333333333,1.0,2.0
"2024-02-29T13:32:15+00:00","vus","","","amazon:us:columbus","{}",3,2.0,2.0,2.0,2.0
"2024-02-29T13:32:18+00:00","vus","","","amazon:us:columbus","{}",3,3.0,2.33333333333333,2.0,3.0
"2024-02-29T13:32:21+00:00","vus","","","amazon:us:columbus","{}",3,3.0,3.0,3.0,3.0
"2024-02-29T13:32:24+00:00","vus","","","amazon:us:columbus","{}",3,3.0,3.0,3.0,3.0
"2024-02-29T13:32:27+00:00","vus","","","amazon:us:columbus","{}",3,4.0,4.0,4.0,4.0
"2024-02-29T13:32:30+00:00","vus","","","amazon:us:columbus","{}",3,4.0,4.0,4.0,4.0
"2024-02-29T13:32:33+00:00","vus","","","amazon:us:columbus","{}",3,5.0,5.0,5.0,5.0
"2024-02-29T13:32:36+00:00","vus","","","amazon:us:columbus","{}",3,5.0,5.0,5.0,5.0
"2024-02-29T13:32:39+00:00","vus","","","amazon:us:columbus","{}",3,6.0,6.0,6.0,6.0
"2024-02-29T13:32:42+00:00","vus","","","amazon:us:columbus","{}",3,6.0,6.0,6.0,6.0
"2024-02-29T13:32:45+00:00","vus","","","amazon:us:columbus","{}",3,7.0,6.66666666666667,6.0,7.0
"2024-02-29T13:32:48+00:00","vus","","","amazon:us:columbus","{}",3,7.0,7.0,7.0,7.0
"2024-02-29T13:32:51+00:00","vus","","","amazon:us:columbus","{}",3,8.0,7.66666666666667,7.0,8.0
"2024-02-29T13:32:54+00:00","vus","","","amazon:us:columbus","{}",3,8.0,8.0,8.0,8.0
"2024-02-29T13:32:57+00:00","vus","","","amazon:us:columbus","{}",3,9.0,8.66666666666667,8.0,9.0
"2024-02-29T13:33:00+00:00","vus","","","amazon:us:columbus","{}",3,9.0,9.0,9.0,9.0
"2024-02-29T13:33:03+00:00","vus","","","amazon:us:columbus","{}",3,10.0,9.33333333333333,9.0,10.0
"2024-02-29T13:33:06+00:00","vus","","","amazon:us:columbus","{}",3,10.0,10.0,10.0,10.0
"2024-02-29T13:33:09+00:00","vus","","","amazon:us:columbus","{}",3,11.0,10.3333333333333,10.0,11.0
"2024-02-29T13:33:12+00:00","vus","","","amazon:us:columbus","{}",3,11.0,11.0,11.0,11.0
"2024-02-29T13:33:15+00:00","vus","","","amazon:us:columbus","{}",3,12.0,11.3333333333333,11.0,12.0
"2024-02-29T13:33:18+00:00","vus","","","amazon:us:columbus","{}",3,12.0,12.0,12.0,12.0
"2024-02-29T13:33:21+00:00","vus","","","amazon:us:columbus","{}",3,12.0,12.0,12.0,12.0
"2024-02-29T13:33:24+00:00","vus","","","amazon:us:columbus","{}",3,13.0,13.0,13.0,13.0
"2024-02-29T13:33:27+00:00","vus","","","amazon:us:columbus","{}",3,13.0,13.0,13.0,13.0
"2024-02-29T13:33:30+00:00","vus","","","amazon:us:columbus","{}",3,14.0,14.0,14.0,14.0
"2024-02-29T13:33:33+00:00","vus","","","amazon:us:columbus","{}",3,14.0,14.0,14.0,14.0
"2024-02-29T13:33:36+00:00","vus","","","amazon:us:columbus","{}",3,15.0,15.0,15.0,15.0
"2024-02-29T13:33:39+00:00","vus","","","amazon:us:columbus","{}",3,15.0,15.0,15.0,15.0
"2024-02-29T13:33:42+00:00","vus","","","amazon:us:columbus","{}",3,16.0,15.6666666666667,15.0,16.0
"2024-02-29T13:33:45+00:00","vus","","","amazon:us:columbus","{}",3,16.0,16.0,16.0,16.0
"2024-02-29T13:33:48+00:00","vus","","","amazon:us:columbus","{}",3,17.0,16.6666666666667,16.0,17.0
"2024-02-29T13:33:51+00:00","vus","","","amazon:us:columbus","{}",3,17.0,17.0,17.0,17.0
"2024-02-29T13:33:54+00:00","vus","","","amazon:us:columbus","{}",3,18.0,17.6666666666667,17.0,18.0
"2024-02-29T13:33:57+00:00","vus","","","amazon:us:columbus","{}",3,18.0,18.0,18.0,18.0
"2024-02-29T13:34:00+00:00","vus","","","amazon:us:columbus","{}",3,19.0,18.6666666666667,18.0,19.0
"2024-02-29T13:34:03+00:00","vus","","","amazon:us:columbus","{}",3,19.0,19.0,19.0,19.0
