"time","metric","scenario","group","load_zone","tags","count"
"2024-02-08T13:41:36+00:00","data_received","default","","amazon:us:columbus","{}",19818
"2024-02-08T13:41:39+00:00","data_received","default","","amazon:us:columbus","{}",14016
"2024-02-08T13:41:42+00:00","data_received","default","","amazon:us:columbus","{}",33834
"2024-02-08T13:41:45+00:00","data_received","default","","amazon:us:columbus","{}",42048
"2024-02-08T13:41:48+00:00","data_received","default","","amazon:us:columbus","{}",47850
"2024-02-08T13:41:51+00:00","data_received","default","","amazon:us:columbus","{}",56064
"2024-02-08T13:41:54+00:00","data_received","default","","amazon:us:columbus","{}",68874
"2024-02-08T13:41:57+00:00","data_received","default","","amazon:us:columbus","{}",77088
"2024-02-08T13:42:00+00:00","data_received","default","","amazon:us:columbus","{}",82890
"2024-02-08T13:42:03+00:00","data_received","default","","amazon:us:columbus","{}",91104
"2024-02-08T13:42:06+00:00","data_received","default","","amazon:us:columbus","{}",98112
"2024-02-08T13:42:09+00:00","data_received","default","","amazon:us:columbus","{}",117930
"2024-02-08T13:42:12+00:00","data_received","default","","amazon:us:columbus","{}",105120
"2024-02-08T13:42:15+00:00","data_received","default","","amazon:us:columbus","{}",138954
"2024-02-08T13:42:18+00:00","data_received","default","","amazon:us:columbus","{}",133152
"2024-02-08T13:42:21+00:00","data_received","default","","amazon:us:columbus","{}",145962
"2024-02-08T13:42:24+00:00","data_received","default","","amazon:us:columbus","{}",154176
"2024-02-08T13:42:27+00:00","data_received","default","","amazon:us:columbus","{}",173994
"2024-02-08T13:42:30+00:00","data_received","default","","amazon:us:columbus","{}",161184
"2024-02-08T13:42:33+00:00","data_received","default","","amazon:us:columbus","{}",188010
"2024-02-08T13:42:36+00:00","data_received","default","","amazon:us:columbus","{}",189216
"2024-02-08T13:42:39+00:00","data_received","default","","amazon:us:columbus","{}",202026
"2024-02-08T13:42:42+00:00","data_received","default","","amazon:us:columbus","{}",203232
"2024-02-08T13:42:45+00:00","data_received","default","","amazon:us:columbus","{}",223050
"2024-02-08T13:42:48+00:00","data_received","default","","amazon:us:columbus","{}",224256
"2024-02-08T13:42:51+00:00","data_received","default","","amazon:us:columbus","{}",237066
"2024-02-08T13:42:54+00:00","data_received","default","","amazon:us:columbus","{}",238272
"2024-02-08T13:42:57+00:00","data_received","default","","amazon:us:columbus","{}",258090
"2024-02-08T13:43:00+00:00","data_received","default","","amazon:us:columbus","{}",259296
"2024-02-08T13:43:03+00:00","data_received","default","","amazon:us:columbus","{}",259296
"2024-02-08T13:43:06+00:00","data_received","default","","amazon:us:columbus","{}",279114
"2024-02-08T13:43:09+00:00","data_received","default","","amazon:us:columbus","{}",287328
"2024-02-08T13:43:12+00:00","data_received","default","","amazon:us:columbus","{}",307146
"2024-02-08T13:43:15+00:00","data_received","default","","amazon:us:columbus","{}",294336
"2024-02-08T13:43:18+00:00","data_received","default","","amazon:us:columbus","{}",321162
"2024-02-08T13:43:21+00:00","data_received","default","","amazon:us:columbus","{}",322368
"2024-02-08T13:43:24+00:00","data_received","default","","amazon:us:columbus","{}",321162
"2024-02-08T13:43:27+00:00","data_received","default","","amazon:us:columbus","{}",343392
"2024-02-08T13:43:30+00:00","data_received","default","","amazon:us:columbus","{}",369031
"2024-02-08T13:43:33+00:00","data_received","default","","amazon:us:columbus","{}",336384
"2024-02-08T13:43:36+00:00","data_received","default","","amazon:us:columbus","{}",383071
"2024-02-08T13:43:39+00:00","data_received","default","","amazon:us:columbus","{}",378432
"2024-02-08T13:43:42+00:00","data_received","default","","amazon:us:columbus","{}",383047
"2024-02-08T13:43:45+00:00","data_received","default","","amazon:us:columbus","{}",399456
