"time","metric","scenario","group","load_zone","tags","count"
"2024-02-08T13:41:36+00:00","data_sent","default","","amazon:us:columbus","{}",586
"2024-02-08T13:41:39+00:00","data_sent","default","","amazon:us:columbus","{}",238
"2024-02-08T13:41:42+00:00","data_sent","default","","amazon:us:columbus","{}",824
"2024-02-08T13:41:45+00:00","data_sent","default","","amazon:us:columbus","{}",714
"2024-02-08T13:41:48+00:00","data_sent","default","","amazon:us:columbus","{}",1062
"2024-02-08T13:41:51+00:00","data_sent","default","","amazon:us:columbus","{}",952
"2024-02-08T13:41:54+00:00","data_sent","default","","amazon:us:columbus","{}",1419
"2024-02-08T13:41:57+00:00","data_sent","default","","amazon:us:columbus","{}",1309
"2024-02-08T13:42:00+00:00","data_sent","default","","amazon:us:columbus","{}",1657
"2024-02-08T13:42:03+00:00","data_sent","default","","amazon:us:columbus","{}",1547
"2024-02-08T13:42:06+00:00","data_sent","default","","amazon:us:columbus","{}",1666
"2024-02-08T13:42:09+00:00","data_sent","default","","amazon:us:columbus","{}",2252
"2024-02-08T13:42:12+00:00","data_sent","default","","amazon:us:columbus","{}",1785
"2024-02-08T13:42:15+00:00","data_sent","default","","amazon:us:columbus","{}",2609
"2024-02-08T13:42:18+00:00","data_sent","default","","amazon:us:columbus","{}",2261
"2024-02-08T13:42:21+00:00","data_sent","default","","amazon:us:columbus","{}",2728
"2024-02-08T13:42:24+00:00","data_sent","default","","amazon:us:columbus","{}",2618
"2024-02-08T13:42:27+00:00","data_sent","default","","amazon:us:columbus","{}",3204
"2024-02-08T13:42:30+00:00","data_sent","default","","amazon:us:columbus","{}",2737
"2024-02-08T13:42:33+00:00","data_sent","default","","amazon:us:columbus","{}",3442
"2024-02-08T13:42:36+00:00","data_sent","default","","amazon:us:columbus","{}",3213
"2024-02-08T13:42:39+00:00","data_sent","default","","amazon:us:columbus","{}",3680
"2024-02-08T13:42:42+00:00","data_sent","default","","amazon:us:columbus","{}",3451
"2024-02-08T13:42:45+00:00","data_sent","default","","amazon:us:columbus","{}",4037
"2024-02-08T13:42:48+00:00","data_sent","default","","amazon:us:columbus","{}",3808
"2024-02-08T13:42:51+00:00","data_sent","default","","amazon:us:columbus","{}",4275
"2024-02-08T13:42:54+00:00","data_sent","default","","amazon:us:columbus","{}",4046
"2024-02-08T13:42:57+00:00","data_sent","default","","amazon:us:columbus","{}",4632
"2024-02-08T13:43:00+00:00","data_sent","default","","amazon:us:columbus","{}",4403
"2024-02-08T13:43:03+00:00","data_sent","default","","amazon:us:columbus","{}",4403
"2024-02-08T13:43:06+00:00","data_sent","default","","amazon:us:columbus","{}",4989
"2024-02-08T13:43:09+00:00","data_sent","default","","amazon:us:columbus","{}",4879
"2024-02-08T13:43:12+00:00","data_sent","default","","amazon:us:columbus","{}",5465
"2024-02-08T13:43:15+00:00","data_sent","default","","amazon:us:columbus","{}",4998
"2024-02-08T13:43:18+00:00","data_sent","default","","amazon:us:columbus","{}",5703
"2024-02-08T13:43:21+00:00","data_sent","default","","amazon:us:columbus","{}",5474
"2024-02-08T13:43:24+00:00","data_sent","default","","amazon:us:columbus","{}",5703
"2024-02-08T13:43:27+00:00","data_sent","default","","amazon:us:columbus","{}",5831
"2024-02-08T13:43:30+00:00","data_sent","default","","amazon:us:columbus","{}",6789
"2024-02-08T13:43:33+00:00","data_sent","default","","amazon:us:columbus","{}",5712
"2024-02-08T13:43:36+00:00","data_sent","default","","amazon:us:columbus","{}",7027
"2024-02-08T13:43:39+00:00","data_sent","default","","amazon:us:columbus","{}",6426
"2024-02-08T13:43:42+00:00","data_sent","default","","amazon:us:columbus","{}",7027
"2024-02-08T13:43:45+00:00","data_sent","default","","amazon:us:columbus","{}",6783
"2024-02-08T13:43:48+00:00","data_sent","default","","amazon:us:columbus","{}",7036
