"time","metric","scenario","group","load_zone","tags","count"
"2024-02-08T13:41:36+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-08T13:41:39+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-08T13:41:42+00:00","iterations","default","","amazon:us:columbus","{}",4
"2024-02-08T13:41:45+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-08T13:41:48+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-08T13:41:51+00:00","iterations","default","","amazon:us:columbus","{}",8
"2024-02-08T13:41:54+00:00","iterations","default","","amazon:us:columbus","{}",9
"2024-02-08T13:41:57+00:00","iterations","default","","amazon:us:columbus","{}",11
"2024-02-08T13:42:00+00:00","iterations","default","","amazon:us:columbus","{}",11
"2024-02-08T13:42:03+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-08T13:42:06+00:00","iterations","default","","amazon:us:columbus","{}",14
"2024-02-08T13:42:09+00:00","iterations","default","","amazon:us:columbus","{}",16
"2024-02-08T13:42:12+00:00","iterations","default","","amazon:us:columbus","{}",15
"2024-02-08T13:42:15+00:00","iterations","default","","amazon:us:columbus","{}",19
"2024-02-08T13:42:18+00:00","iterations","default","","amazon:us:columbus","{}",19
"2024-02-08T13:42:21+00:00","iterations","default","","amazon:us:columbus","{}",20
"2024-02-08T13:42:24+00:00","iterations","default","","amazon:us:columbus","{}",22
"2024-02-08T13:42:27+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-08T13:42:30+00:00","iterations","default","","amazon:us:columbus","{}",23
"2024-02-08T13:42:33+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-08T13:42:36+00:00","iterations","default","","amazon:us:columbus","{}",27
"2024-02-08T13:42:39+00:00","iterations","default","","amazon:us:columbus","{}",28
"2024-02-08T13:42:42+00:00","iterations","default","","amazon:us:columbus","{}",29
"2024-02-08T13:42:45+00:00","iterations","default","","amazon:us:columbus","{}",31
"2024-02-08T13:42:48+00:00","iterations","default","","amazon:us:columbus","{}",32
"2024-02-08T13:42:51+00:00","iterations","default","","amazon:us:columbus","{}",33
"2024-02-08T13:42:54+00:00","iterations","default","","amazon:us:columbus","{}",34
"2024-02-08T13:42:57+00:00","iterations","default","","amazon:us:columbus","{}",36
"2024-02-08T13:43:00+00:00","iterations","default","","amazon:us:columbus","{}",37
"2024-02-08T13:43:03+00:00","iterations","default","","amazon:us:columbus","{}",37
"2024-02-08T13:43:06+00:00","iterations","default","","amazon:us:columbus","{}",39
"2024-02-08T13:43:09+00:00","iterations","default","","amazon:us:columbus","{}",41
"2024-02-08T13:43:12+00:00","iterations","default","","amazon:us:columbus","{}",43
"2024-02-08T13:43:15+00:00","iterations","default","","amazon:us:columbus","{}",42
"2024-02-08T13:43:18+00:00","iterations","default","","amazon:us:columbus","{}",45
"2024-02-08T13:43:21+00:00","iterations","default","","amazon:us:columbus","{}",46
"2024-02-08T13:43:24+00:00","iterations","default","","amazon:us:columbus","{}",45
"2024-02-08T13:43:27+00:00","iterations","default","","amazon:us:columbus","{}",49
"2024-02-08T13:43:30+00:00","iterations","default","","amazon:us:columbus","{}",51
"2024-02-08T13:43:33+00:00","iterations","default","","amazon:us:columbus","{}",48
"2024-02-08T13:43:36+00:00","iterations","default","","amazon:us:columbus","{}",53
"2024-02-08T13:43:39+00:00","iterations","default","","amazon:us:columbus","{}",54
"2024-02-08T13:43:42+00:00","iterations","default","","amazon:us:columbus","{}",53
"2024-02-08T13:43:45+00:00","iterations","default","","amazon:us:columbus","{}",57
"2024-02-08T13:43:48+00:00","iterations","default","","amazon:us:columbus","{}",56
"2024-02-08T13:43:51+00:00","iterations","default","","amazon:us:columbus","{}",59
"2024-02-08T13:43:54+00:00","iterations","default","","amazon:us:columbus","{}",61
"2024-02-08T13:43:57+00:00","iterations","default","","amazon:us:columbus","{}",59
"2024-02-08T13:44:00+00:00","iterations","default","","amazon:us:columbus","{}",64
"2024-02-08T13:44:03+00:00","iterations","default","","amazon:us:columbus","{}",64
"2024-02-08T13:44:06+00:00","iterations","default","","amazon:us:columbus","{}",64
"2024-02-08T13:44:09+00:00","iterations","default","","amazon:us:columbus","{}",66
"2024-02-08T13:44:12+00:00","iterations","default","","amazon:us:columbus","{}",71
"2024-02-08T13:44:15+00:00","iterations","default","","amazon:us:columbus","{}",67
"2024-02-08T13:44:18+00:00","iterations","default","","amazon:us:columbus","{}",71
"2024-02-08T13:44:21+00:00","iterations","default","","amazon:us:columbus","{}",71
"2024-02-08T13:44:24+00:00","iterations","default","","amazon:us:columbus","{}",74
"2024-02-08T13:44:27+00:00","iterations","default","","amazon:us:columbus","{}",75
"2024-02-08T13:44:30+00:00","iterations","default","","amazon:us:columbus","{}",74
"2024-02-08T13:44:33+00:00","iterations","default","","amazon:us:columbus","{}",78
"2024-02-08T13:44:36+00:00","iterations","default","","amazon:us:columbus","{}",80
"2024-02-08T13:44:39+00:00","iterations","default","","amazon:us:columbus","{}",78
"2024-02-08T13:44:42+00:00","iterations","default","","amazon:us:columbus","{}",83
