"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T14:02:00+00:00","data_received","default","","amazon:us:columbus","{}",12126
"2024-02-29T14:02:03+00:00","data_received","default","","amazon:us:columbus","{}",12652
"2024-02-29T14:02:06+00:00","data_received","default","","amazon:us:columbus","{}",31104
"2024-02-29T14:02:09+00:00","data_received","default","","amazon:us:columbus","{}",31630
"2024-02-29T14:02:12+00:00","data_received","default","","amazon:us:columbus","{}",31630
"2024-02-29T14:02:15+00:00","data_received","default","","amazon:us:columbus","{}",62734
"2024-02-29T14:02:18+00:00","data_received","default","","amazon:us:columbus","{}",50608
"2024-02-29T14:02:21+00:00","data_received","default","","amazon:us:columbus","{}",69060
"2024-02-29T14:02:24+00:00","data_received","default","","amazon:us:columbus","{}",63260
"2024-02-29T14:02:27+00:00","data_received","default","","amazon:us:columbus","{}",94364
"2024-02-29T14:02:30+00:00","data_received","default","","amazon:us:columbus","{}",82238
"2024-02-29T14:02:33+00:00","data_received","default","","amazon:us:columbus","{}",100690
"2024-02-29T14:02:36+00:00","data_received","default","","amazon:us:columbus","{}",107542
"2024-02-29T14:02:39+00:00","data_received","default","","amazon:us:columbus","{}",113342
"2024-02-29T14:02:42+00:00","data_received","default","","amazon:us:columbus","{}",113868
"2024-02-29T14:02:45+00:00","data_received","default","","amazon:us:columbus","{}",138646
"2024-02-29T14:02:48+00:00","data_received","default","","amazon:us:columbus","{}",132846
"2024-02-29T14:02:51+00:00","data_received","default","","amazon:us:columbus","{}",144972
"2024-02-29T14:02:54+00:00","data_received","default","","amazon:us:columbus","{}",151824
"2024-02-29T14:02:57+00:00","data_received","default","","amazon:us:columbus","{}",170276
"2024-02-29T14:03:00+00:00","data_received","default","","amazon:us:columbus","{}",164476
"2024-02-29T14:03:03+00:00","data_received","default","","amazon:us:columbus","{}",170276
"2024-02-29T14:03:06+00:00","data_received","default","","amazon:us:columbus","{}",189780
"2024-02-29T14:03:09+00:00","data_received","default","","amazon:us:columbus","{}",189780
"2024-02-29T14:03:12+00:00","data_received","default","","amazon:us:columbus","{}",201906
"2024-02-29T14:03:15+00:00","data_received","default","","amazon:us:columbus","{}",202432
"2024-02-29T14:03:18+00:00","data_received","default","","amazon:us:columbus","{}",227210
"2024-02-29T14:03:21+00:00","data_received","default","","amazon:us:columbus","{}",215084
"2024-02-29T14:03:24+00:00","data_received","default","","amazon:us:columbus","{}",246188
"2024-02-29T14:03:27+00:00","data_received","default","","amazon:us:columbus","{}",234062
"2024-02-29T14:03:30+00:00","data_received","default","","amazon:us:columbus","{}",252514
"2024-02-29T14:03:33+00:00","data_received","default","","amazon:us:columbus","{}",246714
"2024-02-29T14:03:36+00:00","data_received","default","","amazon:us:columbus","{}",277818
"2024-02-29T14:03:39+00:00","data_received","default","","amazon:us:columbus","{}",265692
"2024-02-29T14:03:42+00:00","data_received","default","","amazon:us:columbus","{}",284144
"2024-02-29T14:03:45+00:00","data_received","default","","amazon:us:columbus","{}",284670
"2024-02-29T14:03:48+00:00","data_received","default","","amazon:us:columbus","{}",296796
"2024-02-29T14:03:51+00:00","data_received","default","","amazon:us:columbus","{}",303648
"2024-02-29T14:03:54+00:00","data_received","default","","amazon:us:columbus","{}",309491
"2024-02-29T14:03:57+00:00","data_received","default","","amazon:us:columbus","{}",334752
"2024-02-29T14:04:00+00:00","data_received","default","","amazon:us:columbus","{}",328469
"2024-02-29T14:04:03+00:00","data_received","default","","amazon:us:columbus","{}",334752
"2024-02-29T14:04:06+00:00","data_received","default","","amazon:us:columbus","{}",341097
"2024-02-29T14:04:09+00:00","data_received","default","","amazon:us:columbus","{}",366382
"2024-02-29T14:04:12+00:00","data_received","default","","amazon:us:columbus","{}",360099
"2024-02-29T14:04:15+00:00","data_received","default","","amazon:us:columbus","{}",379034
"2024-02-29T14:04:18+00:00","data_received","default","","amazon:us:columbus","{}",379053
"2024-02-29T14:04:21+00:00","data_received","default","","amazon:us:columbus","{}",398012
"2024-02-29T14:04:24+00:00","data_received","default","","amazon:us:columbus","{}",391686
"2024-02-29T14:04:27+00:00","data_received","default","","amazon:us:columbus","{}",398055
"2024-02-29T14:04:30+00:00","data_received","default","","amazon:us:columbus","{}",410664
"2024-02-29T14:04:33+00:00","data_received","default","","amazon:us:columbus","{}",435987
"2024-02-29T14:04:36+00:00","data_received","default","","amazon:us:columbus","{}",423316
"2024-02-29T14:04:39+00:00","data_received","default","","amazon:us:columbus","{}",436011
"2024-02-29T14:04:42+00:00","data_received","default","","amazon:us:columbus","{}",454946
"2024-02-29T14:04:45+00:00","data_received","default","","amazon:us:columbus","{}",454965
"2024-02-29T14:04:48+00:00","data_received","default","","amazon:us:columbus","{}",467598
"2024-02-29T14:04:51+00:00","data_received","default","","amazon:us:columbus","{}",486619
"2024-02-29T14:04:54+00:00","data_received","default","","amazon:us:columbus","{}",467598
"2024-02-29T14:04:57+00:00","data_received","default","","amazon:us:columbus","{}",487121
"2024-02-29T14:05:00+00:00","data_received","default","","amazon:us:columbus","{}",505028
"2024-02-29T14:05:03+00:00","data_received","default","","amazon:us:columbus","{}",493447
"2024-02-29T14:05:06+00:00","data_received","default","","amazon:us:columbus","{}",517680
"2024-02-29T14:05:09+00:00","data_received","default","","amazon:us:columbus","{}",531403
"2024-02-29T14:05:12+00:00","data_received","default","","amazon:us:columbus","{}",524006
"2024-02-29T14:05:15+00:00","data_received","default","","amazon:us:columbus","{}",544079
"2024-02-29T14:05:18+00:00","data_received","default","","amazon:us:columbus","{}",549310
"2024-02-29T14:05:21+00:00","data_received","default","","amazon:us:columbus","{}",550362
"2024-02-29T14:05:24+00:00","data_received","default","","amazon:us:columbus","{}",568307
"2024-02-29T14:05:27+00:00","data_received","default","","amazon:us:columbus","{}",550362
"2024-02-29T14:05:30+00:00","data_received","default","","amazon:us:columbus","{}",599961
"2024-02-29T14:05:33+00:00","data_received","default","","amazon:us:columbus","{}",600970
"2024-02-29T14:05:36+00:00","data_received","default","","amazon:us:columbus","{}",587285
"2024-02-29T14:05:39+00:00","data_received","default","","amazon:us:columbus","{}",619948
"2024-02-29T14:05:42+00:00","data_received","default","","amazon:us:columbus","{}",618915
"2024-02-29T14:05:45+00:00","data_received","default","","amazon:us:columbus","{}",619948
"2024-02-29T14:05:48+00:00","data_received","default","","amazon:us:columbus","{}",631586
"2024-02-29T14:05:51+00:00","data_received","default","","amazon:us:columbus","{}",644726
"2024-02-29T14:05:54+00:00","data_received","default","","amazon:us:columbus","{}",638462
"2024-02-29T14:05:57+00:00","data_received","default","","amazon:us:columbus","{}",682156
"2024-02-29T14:06:00+00:00","data_received","default","","amazon:us:columbus","{}",644788
"2024-02-29T14:06:03+00:00","data_received","default","","amazon:us:columbus","{}",701134
"2024-02-29T14:06:06+00:00","data_received","default","","amazon:us:columbus","{}",663747
"2024-02-29T14:06:09+00:00","data_received","default","","amazon:us:columbus","{}",707479
