"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T14:02:00+00:00","data_sent","default","","amazon:us:columbus","{}",467
"2024-02-29T14:02:03+00:00","data_sent","default","","amazon:us:columbus","{}",238
"2024-02-29T14:02:06+00:00","data_sent","default","","amazon:us:columbus","{}",824
"2024-02-29T14:02:09+00:00","data_sent","default","","amazon:us:columbus","{}",595
"2024-02-29T14:02:12+00:00","data_sent","default","","amazon:us:columbus","{}",595
"2024-02-29T14:02:15+00:00","data_sent","default","","amazon:us:columbus","{}",1419
"2024-02-29T14:02:18+00:00","data_sent","default","","amazon:us:columbus","{}",952
"2024-02-29T14:02:21+00:00","data_sent","default","","amazon:us:columbus","{}",1538
"2024-02-29T14:02:24+00:00","data_sent","default","","amazon:us:columbus","{}",1190
"2024-02-29T14:02:27+00:00","data_sent","default","","amazon:us:columbus","{}",2014
"2024-02-29T14:02:30+00:00","data_sent","default","","amazon:us:columbus","{}",1547
"2024-02-29T14:02:33+00:00","data_sent","default","","amazon:us:columbus","{}",2133
"2024-02-29T14:02:36+00:00","data_sent","default","","amazon:us:columbus","{}",2023
"2024-02-29T14:02:39+00:00","data_sent","default","","amazon:us:columbus","{}",2371
"2024-02-29T14:02:42+00:00","data_sent","default","","amazon:us:columbus","{}",2142
"2024-02-29T14:02:45+00:00","data_sent","default","","amazon:us:columbus","{}",2847
"2024-02-29T14:02:48+00:00","data_sent","default","","amazon:us:columbus","{}",2499
"2024-02-29T14:02:51+00:00","data_sent","default","","amazon:us:columbus","{}",2966
"2024-02-29T14:02:54+00:00","data_sent","default","","amazon:us:columbus","{}",2856
"2024-02-29T14:02:57+00:00","data_sent","default","","amazon:us:columbus","{}",3442
"2024-02-29T14:03:00+00:00","data_sent","default","","amazon:us:columbus","{}",3094
"2024-02-29T14:03:03+00:00","data_sent","default","","amazon:us:columbus","{}",3442
"2024-02-29T14:03:06+00:00","data_sent","default","","amazon:us:columbus","{}",3570
"2024-02-29T14:03:09+00:00","data_sent","default","","amazon:us:columbus","{}",3570
"2024-02-29T14:03:12+00:00","data_sent","default","","amazon:us:columbus","{}",4037
"2024-02-29T14:03:15+00:00","data_sent","default","","amazon:us:columbus","{}",3808
"2024-02-29T14:03:18+00:00","data_sent","default","","amazon:us:columbus","{}",4513
"2024-02-29T14:03:21+00:00","data_sent","default","","amazon:us:columbus","{}",4046
"2024-02-29T14:03:24+00:00","data_sent","default","","amazon:us:columbus","{}",4870
"2024-02-29T14:03:27+00:00","data_sent","default","","amazon:us:columbus","{}",4403
"2024-02-29T14:03:30+00:00","data_sent","default","","amazon:us:columbus","{}",4989
"2024-02-29T14:03:33+00:00","data_sent","default","","amazon:us:columbus","{}",4641
"2024-02-29T14:03:36+00:00","data_sent","default","","amazon:us:columbus","{}",5465
"2024-02-29T14:03:39+00:00","data_sent","default","","amazon:us:columbus","{}",4998
"2024-02-29T14:03:42+00:00","data_sent","default","","amazon:us:columbus","{}",5584
