"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T14:02:00+00:00","iterations","default","","amazon:us:columbus","{}",1
"2024-02-29T14:02:03+00:00","iterations","default","","amazon:us:columbus","{}",2
"2024-02-29T14:02:06+00:00","iterations","default","","amazon:us:columbus","{}",4
"2024-02-29T14:02:09+00:00","iterations","default","","amazon:us:columbus","{}",5
"2024-02-29T14:02:12+00:00","iterations","default","","amazon:us:columbus","{}",5
"2024-02-29T14:02:15+00:00","iterations","default","","amazon:us:columbus","{}",9
"2024-02-29T14:02:18+00:00","iterations","default","","amazon:us:columbus","{}",8
"2024-02-29T14:02:21+00:00","iterations","default","","amazon:us:columbus","{}",10
"2024-02-29T14:02:24+00:00","iterations","default","","amazon:us:columbus","{}",10
"2024-02-29T14:02:27+00:00","iterations","default","","amazon:us:columbus","{}",14
"2024-02-29T14:02:30+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-29T14:02:33+00:00","iterations","default","","amazon:us:columbus","{}",15
"2024-02-29T14:02:36+00:00","iterations","default","","amazon:us:columbus","{}",17
"2024-02-29T14:02:39+00:00","iterations","default","","amazon:us:columbus","{}",17
"2024-02-29T14:02:42+00:00","iterations","default","","amazon:us:columbus","{}",18
"2024-02-29T14:02:45+00:00","iterations","default","","amazon:us:columbus","{}",21
"2024-02-29T14:02:48+00:00","iterations","default","","amazon:us:columbus","{}",21
"2024-02-29T14:02:51+00:00","iterations","default","","amazon:us:columbus","{}",22
"2024-02-29T14:02:54+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-29T14:02:57+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-29T14:03:00+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-29T14:03:03+00:00","iterations","default","","amazon:us:columbus","{}",26
"2024-02-29T14:03:06+00:00","iterations","default","","amazon:us:columbus","{}",30
"2024-02-29T14:03:09+00:00","iterations","default","","amazon:us:columbus","{}",30
"2024-02-29T14:03:12+00:00","iterations","default","","amazon:us:columbus","{}",31
"2024-02-29T14:03:15+00:00","iterations","default","","amazon:us:columbus","{}",32
"2024-02-29T14:03:18+00:00","iterations","default","","amazon:us:columbus","{}",35
"2024-02-29T14:03:21+00:00","iterations","default","","amazon:us:columbus","{}",34
"2024-02-29T14:03:24+00:00","iterations","default","","amazon:us:columbus","{}",38
"2024-02-29T14:03:27+00:00","iterations","default","","amazon:us:columbus","{}",37
"2024-02-29T14:03:30+00:00","iterations","default","","amazon:us:columbus","{}",39
"2024-02-29T14:03:33+00:00","iterations","default","","amazon:us:columbus","{}",39
"2024-02-29T14:03:36+00:00","iterations","default","","amazon:us:columbus","{}",43
"2024-02-29T14:03:39+00:00","iterations","default","","amazon:us:columbus","{}",42
"2024-02-29T14:03:42+00:00","iterations","default","","amazon:us:columbus","{}",44
"2024-02-29T14:03:45+00:00","iterations","default","","amazon:us:columbus","{}",45
"2024-02-29T14:03:48+00:00","iterations","default","","amazon:us:columbus","{}",46
"2024-02-29T14:03:51+00:00","iterations","default","","amazon:us:columbus","{}",48
"2024-02-29T14:03:54+00:00","iterations","default","","amazon:us:columbus","{}",48
"2024-02-29T14:03:57+00:00","iterations","default","","amazon:us:columbus","{}",52
"2024-02-29T14:04:00+00:00","iterations","default","","amazon:us:columbus","{}",51
"2024-02-29T14:04:03+00:00","iterations","default","","amazon:us:columbus","{}",52
"2024-02-29T14:04:06+00:00","iterations","default","","amazon:us:columbus","{}",53
"2024-02-29T14:04:09+00:00","iterations","default","","amazon:us:columbus","{}",57
"2024-02-29T14:04:12+00:00","iterations","default","","amazon:us:columbus","{}",56
"2024-02-29T14:04:15+00:00","iterations","default","","amazon:us:columbus","{}",59
"2024-02-29T14:04:18+00:00","iterations","default","","amazon:us:columbus","{}",59
"2024-02-29T14:04:21+00:00","iterations","default","","amazon:us:columbus","{}",62
