"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T14:01:57+00:00","vus","","","amazon:us:columbus","{}",3,0.0,0.0,0.0,0.0
"2024-02-29T14:02:00+00:00","vus","","","amazon:us:columbus","{}",3,1.0,0.333333333333333,0.0,1.0
"2024-02-29T14:02:03+00:00","vus","","","amazon:us:columbus","{}",3,1.0,1.0,1.0,1.0
"2024-02-29T14:02:06+00:00","vus","","","amazon:us:columbus","{}",3,2.0,1.33333333333333,1.0,2.0
"2024-02-29T14:02:09+00:00","vus","","","amazon:us:columbus","{}",3,2.0,2.0,2.0,2.0
"2024-02-29T14:02:12+00:00","vus","","","amazon:us:columbus","{}",3,3.0,2.33333333333333,2.0,3.0
"2024-02-29T14:02:15+00:00","vus","","","amazon:us:columbus","{}",3,3.0,3.0,3.0,3.0
"2024-02-29T14:02:18+00:00","vus","","","amazon:us:columbus","{}",3,4.0,3.33333333333333,3.0,4.0
"2024-02-29T14:02:21+00:00","vus","","","amazon:us:columbus","{}",3,4.0,4.0,4.0,4.0
"2024-02-29T14:02:24+00:00","vus","","","amazon:us:columbus","{}",3,4.0,4.0,4.0,4.0
"2024-02-29T14:02:27+00:00","vus","","","amazon:us:columbus","{}",3,5.0,5.0,5.0,5.0
"2024-02-29T14:02:30+00:00","vus","","","amazon:us:columbus","{}",3,5.0,5.0,5.0,5.0
"2024-02-29T14:02:33+00:00","vus","","","amazon:us:columbus","{}",3,6.0,6.0,6.0,6.0
"2024-02-29T14:02:36+00:00","vus","","","amazon:us:columbus","{}",3,6.0,6.0,6.0,6.0
"2024-02-29T14:02:39+00:00","vus","","","amazon:us:columbus","{}",3,7.0,7.0,7.0,7.0
"2024-02-29T14:02:42+00:00","vus","","","amazon:us:columbus","{}",3,7.0,7.0,7.0,7.0
"2024-02-29T14:02:45+00:00","vus","","","amazon:us:columbus","{}",3,8.0,7.66666666666667,7.0,8.0
"2024-02-29T14:02:48+00:00","vus","","","amazon:us:columbus","{}",3,8.0,8.0,8.0,8.0
"2024-02-29T14:02:51+00:00","vus","","","amazon:us:columbus","{}",3,9.0,8.66666666666667,8.0,9.0
"2024-02-29T14:02:54+00:00","vus","","","amazon:us:columbus","{}",3,9.0,9.0,9.0,9.0
"2024-02-29T14:02:57+00:00","vus","","","amazon:us:columbus","{}",3,10.0,9.66666666666667,9.0,10.0
"2024-02-29T14:03:00+00:00","vus","","","amazon:us:columbus","{}",3,10.0,10.0,10.0,10.0
"2024-02-29T14:03:03+00:00","vus","","","amazon:us:columbus","{}",3,11.0,10.3333333333333,10.0,11.0
"2024-02-29T14:03:06+00:00","vus","","","amazon:us:columbus","{}",3,11.0,11.0,11.0,11.0
"2024-02-29T14:03:09+00:00","vus","","","amazon:us:columbus","{}",3,12.0,11.3333333333333,11.0,12.0
"2024-02-29T14:03:12+00:00","vus","","","amazon:us:columbus","{}",3,12.0,12.0,12.0,12.0
