"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:14:09+00:00","data_received","default","","amazon:us:columbus","{}",9595
"2024-02-29T13:14:12+00:00","data_received","default","","amazon:us:columbus","{}",11385
"2024-02-29T13:14:15+00:00","data_received","default","","amazon:us:columbus","{}",17185
"2024-02-29T13:14:18+00:00","data_received","default","","amazon:us:columbus","{}",22770
"2024-02-29T13:14:21+00:00","data_received","default","","amazon:us:columbus","{}",28570
"2024-02-29T13:14:24+00:00","data_received","default","","amazon:us:columbus","{}",26565
"2024-02-29T13:14:27+00:00","data_received","default","","amazon:us:columbus","{}",34155
"2024-02-29T13:14:30+00:00","data_received","default","","amazon:us:columbus","{}",47545
"2024-02-29T13:14:33+00:00","data_received","default","","amazon:us:columbus","{}",37950
"2024-02-29T13:14:36+00:00","data_received","default","","amazon:us:columbus","{}",58930
"2024-02-29T13:14:39+00:00","data_received","default","","amazon:us:columbus","{}",49335
"2024-02-29T13:14:42+00:00","data_received","default","","amazon:us:columbus","{}",66520
"2024-02-29T13:14:45+00:00","data_received","default","","amazon:us:columbus","{}",56925
"2024-02-29T13:14:48+00:00","data_received","default","","amazon:us:columbus","{}",77905
"2024-02-29T13:14:51+00:00","data_received","default","","amazon:us:columbus","{}",68310
"2024-02-29T13:14:54+00:00","data_received","default","","amazon:us:columbus","{}",85495
"2024-02-29T13:14:57+00:00","data_received","default","","amazon:us:columbus","{}",75900
"2024-02-29T13:15:00+00:00","data_received","default","","amazon:us:columbus","{}",93085
"2024-02-29T13:15:03+00:00","data_received","default","","amazon:us:columbus","{}",91080
"2024-02-29T13:15:06+00:00","data_received","default","","amazon:us:columbus","{}",100675
"2024-02-29T13:15:09+00:00","data_received","default","","amazon:us:columbus","{}",102465
"2024-02-29T13:15:12+00:00","data_received","default","","amazon:us:columbus","{}",108265
"2024-02-29T13:15:15+00:00","data_received","default","","amazon:us:columbus","{}",110055
"2024-02-29T13:15:18+00:00","data_received","default","","amazon:us:columbus","{}",119650
"2024-02-29T13:15:21+00:00","data_received","default","","amazon:us:columbus","{}",125235
"2024-02-29T13:15:24+00:00","data_received","default","","amazon:us:columbus","{}",123445
"2024-02-29T13:15:27+00:00","data_received","default","","amazon:us:columbus","{}",129030
"2024-02-29T13:15:30+00:00","data_received","default","","amazon:us:columbus","{}",129030
"2024-02-29T13:15:33+00:00","data_received","default","","amazon:us:columbus","{}",153805
"2024-02-29T13:15:36+00:00","data_received","default","","amazon:us:columbus","{}",136620
"2024-02-29T13:15:39+00:00","data_received","default","","amazon:us:columbus","{}",153805
"2024-02-29T13:15:42+00:00","data_received","default","","amazon:us:columbus","{}",151800
"2024-02-29T13:15:45+00:00","data_received","default","","amazon:us:columbus","{}",168985
"2024-02-29T13:15:48+00:00","data_received","default","","amazon:us:columbus","{}",155595
"2024-02-29T13:15:51+00:00","data_received","default","","amazon:us:columbus","{}",172780
"2024-02-29T13:15:54+00:00","data_received","default","","amazon:us:columbus","{}",174570
"2024-02-29T13:15:57+00:00","data_received","default","","amazon:us:columbus","{}",184165
"2024-02-29T13:16:00+00:00","data_received","default","","amazon:us:columbus","{}",174570
"2024-02-29T13:16:03+00:00","data_received","default","","amazon:us:columbus","{}",199364
"2024-02-29T13:16:06+00:00","data_received","default","","amazon:us:columbus","{}",191755
"2024-02-29T13:16:09+00:00","data_received","default","","amazon:us:columbus","{}",203183
"2024-02-29T13:16:12+00:00","data_received","default","","amazon:us:columbus","{}",206935
"2024-02-29T13:16:15+00:00","data_received","default","","amazon:us:columbus","{}",210749
"2024-02-29T13:16:18+00:00","data_received","default","","amazon:us:columbus","{}",214525
"2024-02-29T13:16:21+00:00","data_received","default","","amazon:us:columbus","{}",218339
"2024-02-29T13:16:24+00:00","data_received","default","","amazon:us:columbus","{}",229705
"2024-02-29T13:16:27+00:00","data_received","default","","amazon:us:columbus","{}",229748
"2024-02-29T13:16:30+00:00","data_received","default","","amazon:us:columbus","{}",229705
"2024-02-29T13:16:33+00:00","data_received","default","","amazon:us:columbus","{}",248680
"2024-02-29T13:16:36+00:00","data_received","default","","amazon:us:columbus","{}",244904
"2024-02-29T13:16:39+00:00","data_received","default","","amazon:us:columbus","{}",248680
"2024-02-29T13:16:42+00:00","data_received","default","","amazon:us:columbus","{}",256313
"2024-02-29T13:16:45+00:00","data_received","default","","amazon:us:columbus","{}",267655
"2024-02-29T13:16:48+00:00","data_received","default","","amazon:us:columbus","{}",260108
"2024-02-29T13:16:51+00:00","data_received","default","","amazon:us:columbus","{}",271450
"2024-02-29T13:16:54+00:00","data_received","default","","amazon:us:columbus","{}",282878
"2024-02-29T13:16:57+00:00","data_received","default","","amazon:us:columbus","{}",271450
"2024-02-29T13:17:00+00:00","data_received","default","","amazon:us:columbus","{}",294263
"2024-02-29T13:17:03+00:00","data_received","default","","amazon:us:columbus","{}",282835
"2024-02-29T13:17:06+00:00","data_received","default","","amazon:us:columbus","{}",296053
"2024-02-29T13:17:09+00:00","data_received","default","","amazon:us:columbus","{}",307610
"2024-02-29T13:17:12+00:00","data_received","default","","amazon:us:columbus","{}",296029
"2024-02-29T13:17:15+00:00","data_received","default","","amazon:us:columbus","{}",318995
"2024-02-29T13:17:18+00:00","data_received","default","","amazon:us:columbus","{}",299848
"2024-02-29T13:17:21+00:00","data_received","default","","amazon:us:columbus","{}",326585
"2024-02-29T13:17:24+00:00","data_received","default","","amazon:us:columbus","{}",337798
"2024-02-29T13:17:27+00:00","data_received","default","","amazon:us:columbus","{}",330380
"2024-02-29T13:17:30+00:00","data_received","default","","amazon:us:columbus","{}",330165
"2024-02-29T13:17:33+00:00","data_received","default","","amazon:us:columbus","{}",349374
"2024-02-29T13:17:36+00:00","data_received","default","","amazon:us:columbus","{}",337755
"2024-02-29T13:17:39+00:00","data_received","default","","amazon:us:columbus","{}",356964
"2024-02-29T13:17:42+00:00","data_received","default","","amazon:us:columbus","{}",356730
"2024-02-29T13:17:45+00:00","data_received","default","","amazon:us:columbus","{}",360783
"2024-02-29T13:17:48+00:00","data_received","default","","amazon:us:columbus","{}",368115
"2024-02-29T13:17:51+00:00","data_received","default","","amazon:us:columbus","{}",372144
"2024-02-29T13:17:54+00:00","data_received","default","","amazon:us:columbus","{}",368115
"2024-02-29T13:17:57+00:00","data_received","default","","amazon:us:columbus","{}",387367
"2024-02-29T13:18:00+00:00","data_received","default","","amazon:us:columbus","{}",373915
"2024-02-29T13:18:03+00:00","data_received","default","","amazon:us:columbus","{}",396704
"2024-02-29T13:18:06+00:00","data_received","default","","amazon:us:columbus","{}",406323
"2024-02-29T13:18:09+00:00","data_received","default","","amazon:us:columbus","{}",396704
"2024-02-29T13:18:12+00:00","data_received","default","","amazon:us:columbus","{}",413913
"2024-02-29T13:18:15+00:00","data_received","default","","amazon:us:columbus","{}",411884
"2024-02-29T13:18:18+00:00","data_received","default","","amazon:us:columbus","{}",429093
"2024-02-29T13:18:21+00:00","data_received","default","","amazon:us:columbus","{}",432888
"2024-02-29T13:18:24+00:00","data_received","default","","amazon:us:columbus","{}",423293
"2024-02-29T13:18:27+00:00","data_received","default","","amazon:us:columbus","{}",429093
"2024-02-29T13:18:30+00:00","data_received","default","","amazon:us:columbus","{}",442244
"2024-02-29T13:18:33+00:00","data_received","default","","amazon:us:columbus","{}",438473
"2024-02-29T13:18:36+00:00","data_received","default","","amazon:us:columbus","{}",451863
"2024-02-29T13:18:39+00:00","data_received","default","","amazon:us:columbus","{}",459453
"2024-02-29T13:18:42+00:00","data_received","default","","amazon:us:columbus","{}",432649
"2024-02-29T13:18:45+00:00","data_received","default","","amazon:us:columbus","{}",478428
"2024-02-29T13:18:48+00:00","data_received","default","","amazon:us:columbus","{}",468809
"2024-02-29T13:18:51+00:00","data_received","default","","amazon:us:columbus","{}",476614
"2024-02-29T13:18:54+00:00","data_received","default","","amazon:us:columbus","{}",478189
"2024-02-29T13:18:57+00:00","data_received","default","","amazon:us:columbus","{}",478404
"2024-02-29T13:19:00+00:00","data_received","default","","amazon:us:columbus","{}",495398
"2024-02-29T13:19:03+00:00","data_received","default","","amazon:us:columbus","{}",493608
"2024-02-29T13:19:06+00:00","data_received","default","","amazon:us:columbus","{}",495355
"2024-02-29T13:19:09+00:00","data_received","default","","amazon:us:columbus","{}",508807
"2024-02-29T13:19:12+00:00","data_received","default","","amazon:us:columbus","{}",514330
"2024-02-29T13:19:15+00:00","data_received","default","","amazon:us:columbus","{}",520216
"2024-02-29T13:19:18+00:00","data_received","default","","amazon:us:columbus","{}",518125
"2024-02-29T13:19:21+00:00","data_received","default","","amazon:us:columbus","{}",529787
"2024-02-29T13:19:24+00:00","data_received","default","","amazon:us:columbus","{}",508530
"2024-02-29T13:19:27+00:00","data_received","default","","amazon:us:columbus","{}",548762
"2024-02-29T13:19:30+00:00","data_received","default","","amazon:us:columbus","{}",535095
"2024-02-29T13:19:33+00:00","data_received","default","","amazon:us:columbus","{}",537377
"2024-02-29T13:19:36+00:00","data_received","default","","amazon:us:columbus","{}",561660
"2024-02-29T13:19:39+00:00","data_received","default","","amazon:us:columbus","{}",540957
"2024-02-29T13:19:42+00:00","data_received","default","","amazon:us:columbus","{}",558080
"2024-02-29T13:19:45+00:00","data_received","default","","amazon:us:columbus","{}",569527
"2024-02-29T13:19:48+00:00","data_received","default","","amazon:us:columbus","{}",575050
"2024-02-29T13:19:51+00:00","data_received","default","","amazon:us:columbus","{}",559956
"2024-02-29T13:19:54+00:00","data_received","default","","amazon:us:columbus","{}",598078
"2024-02-29T13:19:57+00:00","data_received","default","","amazon:us:columbus","{}",588526
"2024-02-29T13:20:00+00:00","data_received","default","","amazon:us:columbus","{}",596073
"2024-02-29T13:20:03+00:00","data_received","default","","amazon:us:columbus","{}",586473
"2024-02-29T13:20:06+00:00","data_received","default","","amazon:us:columbus","{}",605644
"2024-02-29T13:20:09+00:00","data_received","default","","amazon:us:columbus","{}",601653
"2024-02-29T13:20:12+00:00","data_received","default","","amazon:us:columbus","{}",624619
"2024-02-29T13:20:15+00:00","data_received","default","","amazon:us:columbus","{}",603658
"2024-02-29T13:20:18+00:00","data_received","default","","amazon:us:columbus","{}",601634
"2024-02-29T13:20:21+00:00","data_received","default","","amazon:us:columbus","{}",645451
"2024-02-29T13:20:24+00:00","data_received","default","","amazon:us:columbus","{}",630204
"2024-02-29T13:20:27+00:00","data_received","default","","amazon:us:columbus","{}",643637
"2024-02-29T13:20:30+00:00","data_received","default","","amazon:us:columbus","{}",624428
"2024-02-29T13:20:33+00:00","data_received","default","","amazon:us:columbus","{}",652993
"2024-02-29T13:20:36+00:00","data_received","default","","amazon:us:columbus","{}",664383
"2024-02-29T13:20:39+00:00","data_received","default","","amazon:us:columbus","{}",649198
"2024-02-29T13:20:42+00:00","data_received","default","","amazon:us:columbus","{}",660545
"2024-02-29T13:20:45+00:00","data_received","default","","amazon:us:columbus","{}",671987
"2024-02-29T13:20:48+00:00","data_received","default","","amazon:us:columbus","{}",679520
"2024-02-29T13:20:51+00:00","data_received","default","","amazon:us:columbus","{}",689196
"2024-02-29T13:20:54+00:00","data_received","default","","amazon:us:columbus","{}",669925
"2024-02-29T13:20:57+00:00","data_received","default","","amazon:us:columbus","{}",679577
"2024-02-29T13:21:00+00:00","data_received","default","","amazon:us:columbus","{}",702290
"2024-02-29T13:21:03+00:00","data_received","default","","amazon:us:columbus","{}",696786
"2024-02-29T13:21:06+00:00","data_received","default","","amazon:us:columbus","{}",700285
"2024-02-29T13:21:09+00:00","data_received","default","","amazon:us:columbus","{}",712014
"2024-02-29T13:21:12+00:00","data_received","default","","amazon:us:columbus","{}",692695
"2024-02-29T13:21:15+00:00","data_received","default","","amazon:us:columbus","{}",707956
"2024-02-29T13:21:18+00:00","data_received","default","","amazon:us:columbus","{}",753630
"2024-02-29T13:21:21+00:00","data_received","default","","amazon:us:columbus","{}",709985
"2024-02-29T13:21:24+00:00","data_received","default","","amazon:us:columbus","{}",732650
"2024-02-29T13:21:27+00:00","data_received","default","","amazon:us:columbus","{}",742111
"2024-02-29T13:21:30+00:00","data_received","default","","amazon:us:columbus","{}",746040
"2024-02-29T13:21:33+00:00","data_received","default","","amazon:us:columbus","{}",742159
"2024-02-29T13:21:36+00:00","data_received","default","","amazon:us:columbus","{}",761220
"2024-02-29T13:21:39+00:00","data_received","default","","amazon:us:columbus","{}",757315
"2024-02-29T13:21:42+00:00","data_received","default","","amazon:us:columbus","{}",765015
"2024-02-29T13:21:45+00:00","data_received","default","","amazon:us:columbus","{}",774481
"2024-02-29T13:21:48+00:00","data_received","default","","amazon:us:columbus","{}",780257
"2024-02-29T13:21:51+00:00","data_received","default","","amazon:us:columbus","{}",778252
