"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:14:09+00:00","data_sent","default","","amazon:us:columbus","{}",472
"2024-02-29T13:14:12+00:00","data_sent","default","","amazon:us:columbus","{}",372
"2024-02-29T13:14:15+00:00","data_sent","default","","amazon:us:columbus","{}",720
"2024-02-29T13:14:18+00:00","data_sent","default","","amazon:us:columbus","{}",744
"2024-02-29T13:14:21+00:00","data_sent","default","","amazon:us:columbus","{}",1092
"2024-02-29T13:14:24+00:00","data_sent","default","","amazon:us:columbus","{}",868
"2024-02-29T13:14:27+00:00","data_sent","default","","amazon:us:columbus","{}",1116
"2024-02-29T13:14:30+00:00","data_sent","default","","amazon:us:columbus","{}",1712
"2024-02-29T13:14:33+00:00","data_sent","default","","amazon:us:columbus","{}",1240
"2024-02-29T13:14:36+00:00","data_sent","default","","amazon:us:columbus","{}",2084
"2024-02-29T13:14:39+00:00","data_sent","default","","amazon:us:columbus","{}",1612
"2024-02-29T13:14:42+00:00","data_sent","default","","amazon:us:columbus","{}",2332
"2024-02-29T13:14:45+00:00","data_sent","default","","amazon:us:columbus","{}",1860
"2024-02-29T13:14:48+00:00","data_sent","default","","amazon:us:columbus","{}",2704
"2024-02-29T13:14:51+00:00","data_sent","default","","amazon:us:columbus","{}",2232
"2024-02-29T13:14:54+00:00","data_sent","default","","amazon:us:columbus","{}",2952
"2024-02-29T13:14:57+00:00","data_sent","default","","amazon:us:columbus","{}",2480
"2024-02-29T13:15:00+00:00","data_sent","default","","amazon:us:columbus","{}",3200
"2024-02-29T13:15:03+00:00","data_sent","default","","amazon:us:columbus","{}",2976
"2024-02-29T13:15:06+00:00","data_sent","default","","amazon:us:columbus","{}",3448
"2024-02-29T13:15:09+00:00","data_sent","default","","amazon:us:columbus","{}",3348
"2024-02-29T13:15:12+00:00","data_sent","default","","amazon:us:columbus","{}",3696
"2024-02-29T13:15:15+00:00","data_sent","default","","amazon:us:columbus","{}",3596
"2024-02-29T13:15:18+00:00","data_sent","default","","amazon:us:columbus","{}",4068
"2024-02-29T13:15:21+00:00","data_sent","default","","amazon:us:columbus","{}",4092
"2024-02-29T13:15:24+00:00","data_sent","default","","amazon:us:columbus","{}",4192
"2024-02-29T13:15:27+00:00","data_sent","default","","amazon:us:columbus","{}",4216
"2024-02-29T13:15:30+00:00","data_sent","default","","amazon:us:columbus","{}",4216
"2024-02-29T13:15:33+00:00","data_sent","default","","amazon:us:columbus","{}",5184
"2024-02-29T13:15:36+00:00","data_sent","default","","amazon:us:columbus","{}",4464
"2024-02-29T13:15:39+00:00","data_sent","default","","amazon:us:columbus","{}",5184
"2024-02-29T13:15:42+00:00","data_sent","default","","amazon:us:columbus","{}",4960
"2024-02-29T13:15:45+00:00","data_sent","default","","amazon:us:columbus","{}",5680
"2024-02-29T13:15:48+00:00","data_sent","default","","amazon:us:columbus","{}",5084
"2024-02-29T13:15:51+00:00","data_sent","default","","amazon:us:columbus","{}",5804
"2024-02-29T13:15:54+00:00","data_sent","default","","amazon:us:columbus","{}",5704
"2024-02-29T13:15:57+00:00","data_sent","default","","amazon:us:columbus","{}",6176
"2024-02-29T13:16:00+00:00","data_sent","default","","amazon:us:columbus","{}",5704
"2024-02-29T13:16:03+00:00","data_sent","default","","amazon:us:columbus","{}",6696
"2024-02-29T13:16:06+00:00","data_sent","default","","amazon:us:columbus","{}",6424
