"time","metric","scenario","group","load_zone","tags","count"
"2024-02-29T13:14:09+00:00","iterations","default","","amazon:us:columbus","{}",1
"2024-02-29T13:14:12+00:00","iterations","default","","amazon:us:columbus","{}",3
"2024-02-29T13:14:15+00:00","iterations","default","","amazon:us:columbus","{}",3
"2024-02-29T13:14:18+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-29T13:14:21+00:00","iterations","default","","amazon:us:columbus","{}",6
"2024-02-29T13:14:24+00:00","iterations","default","","amazon:us:columbus","{}",7
"2024-02-29T13:14:27+00:00","iterations","default","","amazon:us:columbus","{}",9
"2024-02-29T13:14:30+00:00","iterations","default","","amazon:us:columbus","{}",11
"2024-02-29T13:14:33+00:00","iterations","default","","amazon:us:columbus","{}",10
"2024-02-29T13:14:36+00:00","iterations","default","","amazon:us:columbus","{}",14
"2024-02-29T13:14:39+00:00","iterations","default","","amazon:us:columbus","{}",13
"2024-02-29T13:14:42+00:00","iterations","default","","amazon:us:columbus","{}",16
"2024-02-29T13:14:45+00:00","iterations","default","","amazon:us:columbus","{}",15
"2024-02-29T13:14:48+00:00","iterations","default","","amazon:us:columbus","{}",19
"2024-02-29T13:14:51+00:00","iterations","default","","amazon:us:columbus","{}",18
"2024-02-29T13:14:54+00:00","iterations","default","","amazon:us:columbus","{}",21
"2024-02-29T13:14:57+00:00","iterations","default","","amazon:us:columbus","{}",20
"2024-02-29T13:15:00+00:00","iterations","default","","amazon:us:columbus","{}",23
"2024-02-29T13:15:03+00:00","iterations","default","","amazon:us:columbus","{}",24
"2024-02-29T13:15:06+00:00","iterations","default","","amazon:us:columbus","{}",25
"2024-02-29T13:15:09+00:00","iterations","default","","amazon:us:columbus","{}",27
"2024-02-29T13:15:12+00:00","iterations","default","","amazon:us:columbus","{}",27
"2024-02-29T13:15:15+00:00","iterations","default","","amazon:us:columbus","{}",29
"2024-02-29T13:15:18+00:00","iterations","default","","amazon:us:columbus","{}",30
"2024-02-29T13:15:21+00:00","iterations","default","","amazon:us:columbus","{}",33
"2024-02-29T13:15:24+00:00","iterations","default","","amazon:us:columbus","{}",31
"2024-02-29T13:15:27+00:00","iterations","default","","amazon:us:columbus","{}",34
